time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909368,415000,2700290,1863,1863,33576,33575,0,0,42360,42347,42306,42302,1,1,12534,37925,54894,42306,1863,48,18,18,0,0,12534,0,0,48,99,12,0,2022-07-04T07:36:08,3,0.056916666666666664,1656909385.3736959,2022-07-04T07:36:25,-10683,-0.17804999999999999,110.52532751748257
1656909398,716000,2730290,1878,1878,34557,34556,0,0,42788,42775,42734,42730,1,1,12644,5486,55432,42734,1878,48,18,18,0,0,12644,0,0,48,15,12,0,2022-07-04T07:36:38,33,0.5619333333333334,1656909408.9272609,2022-07-04T07:36:48,19317,0.32195,287.8441939612872
1656909410,734000,2742290,1888,1888,35088,35087,0,0,43017,43004,42962,42958,1,1,12706,10551,55723,42962,1888,50,18,18,0,0,12706,0,0,50,55,12,0,2022-07-04T07:36:50,45,0.7622333333333333,1656909419.892468,2022-07-04T07:36:59,31317,0.52195,367.25197613467077
1656909423,63000,2754290,1893,1893,35405,35404,0,0,43156,43143,43101,43097,1,1,12740,9314,55896,43101,1893,50,18,18,0,0,12740,0,0,50,105,12,0,2022-07-04T07:37:03,58,0.9677166666666667,1656909432.829588,2022-07-04T07:37:12,43317,0.72195,439.703796646608
1656909438,244000,2769290,1906,1906,36068,36067,0,0,43442,43429,43387,43383,1,1,12818,14204,56260,43387,1906,50,18,18,0,0,12818,0,0,50,253,12,0,2022-07-04T07:37:18,73,1.2207333333333332,1656909447.4112399,2022-07-04T07:37:27,58317,0.97195,531.3185009161298
1656909450,427000,2781290,1915,1915,36577,36576,0,0,43661,43648,43606,43602,1,1,12879,18424,56540,43606,1915,51,18,18,0,0,12879,0,0,51,208,12,0,2022-07-04T07:37:30,85,1.4237833333333334,1656909457.2733128,2022-07-04T07:37:37,70317,1.1719499999999998,608.2690702453211
1656909462,328000,2793290,1924,1924,37072,37071,0,0,43876,43863,43821,43817,1,1,12935,30184,56811,43821,1924,51,18,18,0,0,12935,0,0,51,18,12,0,2022-07-04T07:37:42,97,1.6221333333333334,1656909470.9640808,2022-07-04T07:37:50,82317,1.3719499999999998,686.5706818808677
1656909474,523000,2805290,1935,1935,37613,37612,0,0,44108,44095,44053,44049,1,1,13001,32364,57109,44053,1935,51,18,18,0,0,13001,0,0,51,250,12,0,2022-07-04T07:37:54,109,1.8253833333333334,1656909481.356865,2022-07-04T07:38:01,94317,1.57195,762.7229410925272
1656909486,33000,2817290,1944,1944,38149,38148,0,0,44339,44326,44284,44280,1,1,13066,35050,57405,44284,1944,51,18,18,0,0,13066,0,0,51,219,12,0,2022-07-04T07:38:06,121,2.0172166666666667,1656909495.0662,2022-07-04T07:38:15,106317,1.77195,829.316352308152
1656909497,155000,2828290,1952,1952,38639,38638,0,0,44551,44538,44496,44492,1,1,13124,37508,57675,44496,1952,51,18,18,0,0,13124,0,0,51,209,12,0,2022-07-04T07:38:17,132,2.2025833333333336,1656909505.919025,2022-07-04T07:38:25,117317,1.9552833333333333,891.1836034982036
