time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909120,788000,2455069,31.375,56,12,2,2022-07-04T07:32:00,-245,-4.0702,1656909129.693812,2022-07-04T07:32:09,-255904,-4.265066666666667,96.41848180651219
1656909136,385000,2470069,31.375,123,12,2,2022-07-04T07:32:16,-229,-3.8102500000000004,1656909145.371917,2022-07-04T07:32:25,-240904,-4.015066666666667,97.32042723149861
1656909151,157000,2485069,31.375,219,12,2,2022-07-04T07:32:31,-214,-3.56405,1656909162.25844,2022-07-04T07:32:42,-225904,-3.765066666666667,97.30000562653755
1656909168,339000,2502069,31.4375,145,12,2,2022-07-04T07:32:48,-197,-3.2776833333333335,1656909178.810984,2022-07-04T07:32:58,-208904,-3.481733333333333,97.0637202491803
1656909199,451000,2533069,31.4375,57,12,2,2022-07-04T07:33:19,-166,-2.75915,1656909209.8316798,2022-07-04T07:33:29,-177904,-2.9650666666666665,96.73190777043146
1656909209,891000,2548113,31.5,14,12,2,2022-07-04T07:33:29,-156,-2.58515,1656909226.032521,2022-07-04T07:33:46,-162860,-2.7143333333333337,96.65837016497937
1656909231,70000,2563069,31.5,122,12,2,2022-07-04T07:33:51,-134,-2.2321666666666666,1656909239.016077,2022-07-04T07:33:59,-147904,-2.4650666666666665,96.59381866455078
1656909247,752000,2580693,31.5625,46,12,2,2022-07-04T07:34:07,-118,-1.9541333333333335,1656909255.2001529,2022-07-04T07:34:15,-130280,-2.1713333333333336,97.05039031116675
1656909263,831000,2596130,31.5625,21,12,2,2022-07-04T07:34:23,-102,-1.68615,1656909271.16466,2022-07-04T07:34:31,-114843,-1.91405,97.79963627297657
1656909292,773000,2625069,31.625,191,12,2,2022-07-04T07:34:52,-73,-1.2037833333333334,1656909302.7319279,2022-07-04T07:35:02,-85904,-1.4317333333333333,97.6801079886093
1656909309,286000,2641069,31.625,138,12,2,2022-07-04T07:35:09,-56,-0.9285666666666667,1656909318.6533358,2022-07-04T07:35:18,-69904,-1.1650666666666667,97.89999168557922
