time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,164000,2456982,44.06593322753906,3.2880001068115234,3.1106226444244385,5,11,0,2022-07-04T07:31:52,-253,-4.213933333333333,1656909120.742897,2022-07-04T07:32:00,-253991,-4.233183333333334,96.86910244521566
1656909121,325000,2466142,43.77289581298828,3.2909998893737793,3.0848350524902344,10,11,0,2022-07-04T07:32:01,-244,-4.06125,1656909128.6075358,2022-07-04T07:32:08,-244831,-4.080516666666666,96.39042252045193
1656909129,473000,2474290,44.06593322753906,3.2929999828338623,3.02681303024292,243,11,0,2022-07-04T07:32:09,-236,-3.9254499999999997,1656909136.913312,2022-07-04T07:32:16,-236683,-3.9447166666666664,97.16561436176856
1656909137,625000,2482442,43.77289581298828,3.2909998893737793,3.0590474605560303,219,11,0,2022-07-04T07:32:17,-228,-3.7895833333333333,1656909145.371917,2022-07-04T07:32:25,-228531,-3.80885,97.34820037363768
1656909142,717000,2487535,44.06593322753906,3.2909998893737793,3.0590474605560303,108,11,0,2022-07-04T07:32:22,-223,-3.7047166666666667,1656909152.86184,2022-07-04T07:32:32,-223438,-3.7239666666666666,97.41640508561235
1656909152,899000,2497716,44.06593322753906,3.2929999828338623,3.0252015590667725,144,11,0,2022-07-04T07:32:32,-213,-3.5350166666666665,1656909161.674325,2022-07-04T07:32:41,-213257,-3.5542833333333332,97.27598099884699
1656909169,207000,2514024,44.06593322753906,3.2929999828338623,3.02681303024292,87,11,0,2022-07-04T07:32:49,-196,-3.2632166666666667,1656909177.7000248,2022-07-04T07:32:57,-196949,-3.2824833333333334,97.07977129684663
1656909178,373000,2523190,44.06593322753906,3.2880001068115234,3.075164794921875,93,11,0,2022-07-04T07:32:58,-187,-3.11045,1656909185.8949249,2022-07-04T07:33:05,-187783,-3.1297166666666665,97.24876227514993
1656909191,626000,2536443,44.35897445678711,3.2929999828338623,3.0252015590667725,214,11,0,2022-07-04T07:33:11,-174,-2.8895666666666666,1656909202.3792648,2022-07-04T07:33:22,-174530,-2.9088333333333334,96.35129827948006
1656909201,804000,2546621,44.35897445678711,3.2909998893737793,3.0816118717193604,248,11,0,2022-07-04T07:33:21,-164,-2.719933333333333,1656909209.8316798,2022-07-04T07:33:29,-164352,-2.7392,96.84568694980031
1656909202,822000,2547639,44.35897445678711,3.2929999828338623,3.02681303024292,21,11,0,2022-07-04T07:33:22,-163,-2.7029666666666667,1656909218.341317,2022-07-04T07:33:38,-163334,-2.7222333333333335,96.83193688914791
1656909217,75000,2561892,44.652015686035156,3.2929999828338623,3.0252015590667725,165,11,0,2022-07-04T07:33:37,-148,-2.465416666666667,1656909226.7230358,2022-07-04T07:33:46,-149081,-2.4846833333333334,96.59381866455078
1656909233,371000,2578187,44.652015686035156,3.2880001068115234,3.1041758060455322,117,11,0,2022-07-04T07:33:53,-132,-2.1938166666666663,1656909243.26,2022-07-04T07:34:03,-132786,-2.2131,96.67055885130955
1656909242,537000,2587353,44.652015686035156,3.2929999828338623,3.02681303024292,122,11,0,2022-07-04T07:34:02,-123,-2.04105,1656909251.740229,2022-07-04T07:34:11,-123620,-2.0603333333333333,97.66070399723999
1656909243,555000,2588371,44.652015686035156,3.2929999828338623,3.0284247398376465,151,11,0,2022-07-04T07:34:03,-122,-2.024083333333333,1656909255.2001529,2022-07-04T07:34:15,-122602,-2.0433666666666666,97.54156702074478
1656909255,766000,2600582,44.652015686035156,3.2929999828338623,3.0284247398376465,243,11,0,2022-07-04T07:34:15,-110,-1.8205666666666667,1656909263.4329119,2022-07-04T07:34:23,-110391,-1.83985,97.1031834868277
1656909264,931000,2609747,44.9450569152832,3.2929999828338623,3.02681303024292,248,11,0,2022-07-04T07:34:24,-101,-1.6678166666666667,1656909271.803689,2022-07-04T07:34:31,-101226,-1.6871,97.91014508456304
1656909272,59000,2616875,44.9450569152832,3.2929999828338623,3.0252015590667725,189,11,0,2022-07-04T07:34:32,-93,-1.5490166666666667,1656909279.6758199,2022-07-04T07:34:39,-94098,-1.5683,97.7063524582012
1656909280,207000,2625023,44.652015686035156,3.2929999828338623,3.030036687850952,163,11,0,2022-07-04T07:34:40,-85,-1.4132166666666668,1656909287.767017,2022-07-04T07:34:47,-85950,-1.4325,97.56853750696084
1656909293,443000,2638259,44.9450569152832,3.2929999828338623,3.0284247398376465,29,11,0,2022-07-04T07:34:53,-72,-1.1926166666666667,1656909303.394881,2022-07-04T07:35:03,-72714,-1.2119,97.68641632508624
1656909303,623000,2648439,44.9450569152832,3.2929999828338623,3.0284247398376465,63,11,0,2022-07-04T07:35:03,-62,-1.02295,1656909311.6920319,2022-07-04T07:35:11,-62534,-1.0422333333333333,97.981293923238
1656909311,772000,2656588,44.9450569152832,3.2909998893737793,3.075164794921875,39,11,0,2022-07-04T07:35:11,-54,-0.8871333333333333,1656909319.664124,2022-07-04T07:35:19,-54385,-0.9064166666666666,97.82884700153652
1656909316,864000,2661680,44.9450569152832,3.2909998893737793,3.0799999237060547,185,11,0,2022-07-04T07:35:16,-49,-0.8022666666666667,1656909326.9946399,2022-07-04T07:35:26,-49293,-0.82155,97.95419008993612
1656909326,26000,2670842,44.9450569152832,3.2929999828338623,3.02681303024292,185,11,0,2022-07-04T07:35:26,-39,-0.6495666666666666,1656909334.7790408,2022-07-04T07:35:34,-40131,-0.6688500000000001,98.51098311406642
1656909333,155000,2677971,45.238094329833984,3.2880001068115234,3.1138463020324707,128,11,0,2022-07-04T07:35:33,-32,-0.5307499999999999,1656909343.6787238,2022-07-04T07:35:43,-33002,-0.5500333333333334,98.32323070652676
1656909341,306000,2686122,45.238094329833984,3.2880001068115234,3.1138463020324707,105,11,0,2022-07-04T07:35:41,-24,-0.3949,1656909350.9006639,2022-07-04T07:35:50,-24851,-0.4141833333333333,98.49201789410931
1656909348,435000,2693251,44.9450569152832,3.2929999828338623,3.0316481590270996,53,11,0,2022-07-04T07:35:48,-17,-0.27608333333333335,1656909359.049641,2022-07-04T07:35:59,-17722,-0.29536666666666667,98.49614283006204
1656909364,727000,2709542,45.238094329833984,3.2929999828338623,3.0332601070404053,5,11,0,2022-07-04T07:36:04,-1,-0.00455,1656909372.2527518,2022-07-04T07:36:12,-1431,-0.02385,98.72882763859786
1656909368,801000,2713616,44.9450569152832,3.2909998893737793,3.0880584716796875,121,11,0,2022-07-04T07:36:08,3,0.06335,1656909379.953729,2022-07-04T07:36:19,2643,0.04405,112.70638211296213
1656909378,995000,2723810,44.9450569152832,3.2929999828338623,3.02681303024292,153,11,0,2022-07-04T07:36:18,13,0.23324999999999999,1656909387.727236,2022-07-04T07:36:27,12837,0.21395,170.3065648754456
1656909396,345000,2741160,44.35897445678711,3.2929999828338623,3.0252015590667725,130,11,0,2022-07-04T07:36:36,31,0.5224166666666666,1656909404.136272,2022-07-04T07:36:44,30187,0.5031166666666667,273.23160241358704
1656909404,500000,2749315,43.77289581298828,3.2929999828338623,3.0284247398376465,107,11,0,2022-07-04T07:36:44,39,0.6583333333333333,1656909412.379633,2022-07-04T07:36:52,38342,0.6390333333333333,327.04217327215673
1656909410,611000,2755426,43.77289581298828,3.2880001068115234,3.0848350524902344,25,11,0,2022-07-04T07:36:50,45,0.7601833333333333,1656909420.461061,2022-07-04T07:37:00,44453,0.7408833333333333,366.53993093891506
1656909419,773000,2764588,42.89377212524414,3.2909998893737793,3.083223342895508,30,11,0,2022-07-04T07:36:59,54,0.9128833333333334,1656909430.459388,2022-07-04T07:37:10,53615,0.8935833333333334,419.57861454471663
1656909428,954000,2773769,43.18681335449219,3.2929999828338623,3.02681303024292,35,11,0,2022-07-04T07:37:08,63,1.0659,1656909438.8301718,2022-07-04T07:37:18,62796,1.0466,477.27846362925266
1656909438,133000,2782948,42.60073471069336,3.2929999828338623,3.02681303024292,34,11,0,2022-07-04T07:37:18,73,1.2188833333333333,1656909446.831241,2022-07-04T07:37:26,71975,1.1995833333333332,530.6853283875258
1656909456,491000,2801306,41.72161102294922,3.2909998893737793,3.0252015590667725,46,11,0,2022-07-04T07:37:36,91,1.52485,1656909463.325645,2022-07-04T07:37:43,90333,1.50555,647.9968389423874
1656909462,605000,2807420,41.42857360839844,3.2909998893737793,3.0816118717193604,220,11,0,2022-07-04T07:37:42,97,1.6267500000000001,1656909470.9640808,2022-07-04T07:37:50,96447,1.60745,688.4073078045607
1656909470,750000,2815565,41.42857360839844,3.2929999828338623,3.0252015590667725,196,11,0,2022-07-04T07:37:50,105,1.7625,1656909479.044973,2022-07-04T07:37:59,104592,1.7432,739.731322025485
1656909479,923000,2824738,41.42857360839844,3.2929999828338623,3.023589611053467,201,11,0,2022-07-04T07:37:59,114,1.9153833333333334,1656909487.3856199,2022-07-04T07:38:07,113765,1.8960833333333333,794.5850048514296
1656909487,60000,2831874,42.014652252197266,3.2929999828338623,3.0252015590667725,143,11,0,2022-07-04T07:38:07,122,2.0343333333333335,1656909495.0662,2022-07-04T07:38:15,120901,2.0150166666666665,835.0920069821644
1656909493,175000,2837989,42.30769348144531,3.2929999828338623,3.0252015590667725,60,11,0,2022-07-04T07:38:13,128,2.13625,1656909503.6274688,2022-07-04T07:38:23,127016,2.1169333333333333,868.8491780405002
1656909503,372000,2848187,43.18681335449219,3.2929999828338623,3.0219781398773193,95,11,0,2022-07-04T07:38:23,138,2.3062,1656909511.7383249,2022-07-04T07:38:31,137214,2.2869,928.2592412110374
1656909505,411000,2850225,42.89377212524414,3.2880001068115234,3.1138463020324707,153,11,0,2022-07-04T07:38:25,140,2.3401833333333335,1656909519.4888449,2022-07-04T07:38:39,139252,2.320866666666667,940.4190007890442
1656909518,665000,2863479,43.479854583740234,3.2929999828338623,3.023589611053467,18,11,0,2022-07-04T07:38:38,153,2.5610833333333334,1656909527.909149,2022-07-04T07:38:47,152506,2.5417666666666667,1023.0791490767804
1656909526,821000,2871635,43.77289581298828,3.2929999828338623,3.083223342895508,251,11,0,2022-07-04T07:38:46,161,2.697016666666667,1656909536.380841,2022-07-04T07:38:56,160662,2.6777,1068.6763615195546
1656909534,988000,2879802,44.06593322753906,3.2929999828338623,3.0252015590667725,225,11,0,2022-07-04T07:38:54,169,2.8331333333333335,1656909540.9738529,2022-07-04T07:39:00,168829,2.813816666666667,1117.877503490799
1656909543,147000,2887961,44.06593322753906,3.2929999828338623,3.0252015590667725,195,11,0,2022-07-04T07:39:03,178,2.9691166666666664,1656909549.440573,2022-07-04T07:39:09,176988,2.9498,1168.046191810452
1656909551,307000,2896121,44.35897445678711,3.2929999828338623,3.0252015590667725,172,11,0,2022-07-04T07:39:11,186,3.1051166666666665,1656909557.8420088,2022-07-04T07:39:17,185148,3.0858,1219.5370466008105
1656909558,438000,2903252,44.652015686035156,3.2929999828338623,3.0252015590667725,120,11,0,2022-07-04T07:39:18,193,3.2239666666666666,1656909565.472565,2022-07-04T07:39:25,192279,3.20465,1259.9674957095494
1656909566,601000,2911415,44.652015686035156,3.2929999828338623,3.0252015590667725,96,11,0,2022-07-04T07:39:26,201,3.3600166666666667,1656909573.9721599,2022-07-04T07:39:33,200442,3.3407,1304.4410023050723
1656909573,739000,2918553,44.9450569152832,3.2929999828338623,3.0284247398376465,43,11,0,2022-07-04T07:39:33,208,3.4789833333333333,1656909582.3032,2022-07-04T07:39:42,207580,3.4596666666666667,1345.727633966049
1656909578,837000,2923651,44.9450569152832,3.2909998893737793,3.083223342895508,188,11,0,2022-07-04T07:39:38,213,3.5639499999999997,1656909590.0333638,2022-07-04T07:39:50,212678,3.544633333333333,1386.2035222643744
1656909591,69000,2935882,44.9450569152832,3.2909998893737793,3.0252015590667725,19,11,0,2022-07-04T07:39:51,226,3.7678166666666666,1656909598.3004448,2022-07-04T07:39:58,224909,3.748483333333333,1475.2075744704155
1656909599,224000,2944038,45.238094329833984,3.2929999828338623,3.0252015590667725,250,11,0,2022-07-04T07:39:59,234,3.9037333333333333,1656909606.5553439,2022-07-04T07:40:06,233065,3.8844166666666666,1503.1110528623904
1656909606,363000,2951177,45.238094329833984,3.2929999828338623,3.0284247398376465,198,11,0,2022-07-04T07:40:06,241,4.022716666666667,1656909614.3943648,2022-07-04T07:40:14,240204,4.0034,1541.388687577369
1656909614,513000,2959327,45.238094329833984,3.2909998893737793,3.023589611053467,174,11,0,2022-07-04T07:40:14,249,4.15855,1656909622.724552,2022-07-04T07:40:22,248354,4.139233333333333,1595.470597663323
1656909622,673000,2967486,44.9450569152832,3.2909998893737793,3.0703296661376953,150,11,0,2022-07-04T07:40:22,257,4.29455,1656909631.08618,2022-07-04T07:40:31,256513,4.275216666666666,1644.3260948048794
1656909630,846000,2975659,44.652015686035156,3.2929999828338623,3.0252015590667725,126,11,0,2022-07-04T07:40:30,265,4.430766666666667,1656909638.63782,2022-07-04T07:40:38,264686,4.411433333333333,1693.2594254590388
1656909644,92000,2988906,44.652015686035156,3.2909998893737793,3.0816118717193604,240,11,0,2022-07-04T07:40:44,279,4.651533333333333,1656909654.508132,2022-07-04T07:40:54,277933,4.632216666666666,1774.4721152404124
1656909655,299000,3000112,44.35897445678711,3.2929999828338623,3.0252015590667725,47,11,0,2022-07-04T07:40:55,290,4.838316666666667,1656909662.939072,2022-07-04T07:41:02,289139,4.818983333333334,1840.126342442546
1656909662,435000,3007248,44.35897445678711,3.2880001068115234,3.1025640964508057,251,11,0,2022-07-04T07:41:02,297,4.95725,1656909671.0993118,2022-07-04T07:41:11,296275,4.937916666666666,1888.1800736073544
1656909671,618000,3016431,43.77289581298828,3.2909998893737793,3.0799999237060547,0,11,0,2022-07-04T07:41:11,306,5.1103,1656909678.777488,2022-07-04T07:41:18,305458,5.0909666666666675,1947.034825415792
1656909679,782000,3024595,43.77289581298828,3.2929999828338623,3.023589611053467,232,11,0,2022-07-04T07:41:19,314,5.246366666666666,1656909687.0491328,2022-07-04T07:41:27,313622,5.227033333333334,1999.218764240483
1656909686,922000,3031735,43.479854583740234,3.2909998893737793,3.075164794921875,179,11,0,2022-07-04T07:41:26,321,5.3653666666666675,1656909695.298156,2022-07-04T07:41:35,320762,5.346033333333334,2048.1483206655016
1656909695,77000,3039890,43.479854583740234,3.2929999828338623,3.02681303024292,149,11,0,2022-07-04T07:41:35,330,5.501283333333333,1656909703.2686439,2022-07-04T07:41:43,328917,5.481949999999999,2100.5943519693765
1656909702,219000,3047032,43.479854583740234,3.2860000133514404,3.1041758060455322,96,11,0,2022-07-04T07:41:42,337,5.620316666666667,1656909711.7798438,2022-07-04T07:41:51,336059,5.600983333333334,2147.003688599213
1656909710,380000,3055193,43.18681335449219,3.2929999828338623,3.0219781398773193,73,11,0,2022-07-04T07:41:50,345,5.756333333333333,1656909716.639485,2022-07-04T07:41:56,344220,5.737,2199.653048924092
1656909714,459000,3059272,43.479854583740234,3.2880001068115234,3.112234354019165,189,11,0,2022-07-04T07:41:54,349,5.824316666666666,1656909724.769897,2022-07-04T07:42:04,348299,5.804983333333333,2226.4193552914235
1656909730,786000,3075598,43.479854583740234,3.2909998893737793,3.071941375732422,141,11,0,2022-07-04T07:42:10,365,6.096433333333334,1656909740.691592,2022-07-04T07:42:20,364625,6.077083333333333,2329.0132957074684
1656909742,27000,3086840,42.89377212524414,3.2909998893737793,3.0219781398773193,201,11,0,2022-07-04T07:42:22,377,6.283783333333333,1656909749.07156,2022-07-04T07:42:29,375867,6.26445,2395.1628893836273
1656909749,173000,3093985,42.60073471069336,3.2929999828338623,3.0219781398773193,145,11,0,2022-07-04T07:42:29,384,6.4028833333333335,1656909756.711032,2022-07-04T07:42:36,383012,6.383533333333333,2437.2147527774387
1656909758,357000,3103169,42.60073471069336,3.2929999828338623,3.0252015590667725,150,11,0,2022-07-04T07:42:38,393,6.55595,1656909765.152452,2022-07-04T07:42:45,392196,6.536600000000001,2492.6686889093203
1656909765,501000,3110314,42.30769348144531,3.2929999828338623,3.0252015590667725,98,11,0,2022-07-04T07:42:45,400,6.675016666666666,1656909773.531632,2022-07-04T07:42:53,399341,6.655683333333333,2537.8034475176
1656909772,646000,3117459,42.30769348144531,3.2929999828338623,3.0219781398773193,45,11,0,2022-07-04T07:42:52,407,6.7941,1656909781.691649,2022-07-04T07:43:01,406486,6.774766666666666,2577.6749269813195
1656909780,821000,3125633,42.60073471069336,3.2929999828338623,3.0219781398773193,21,11,0,2022-07-04T07:43:00,415,6.930350000000001,1656909788.731444,2022-07-04T07:43:08,414660,6.9110000000000005,2623.4065482139968
1656909787,958000,3132770,42.014652252197266,3.2929999828338623,3.0219781398773193,223,11,0,2022-07-04T07:43:07,422,7.049300000000001,1656909796.751468,2022-07-04T07:43:16,421797,7.02995,2664.7729715966107
1656909797,127000,3141939,42.014652252197266,3.2909998893737793,3.023589611053467,221,11,0,2022-07-04T07:43:17,432,7.202116666666667,1656909804.71482,2022-07-04T07:43:24,430966,7.182766666666667,2719.24344493621
1656909804,272000,3149084,42.014652252197266,3.2929999828338623,3.0219781398773193,169,11,0,2022-07-04T07:43:24,439,7.3212,1656909812.595285,2022-07-04T07:43:32,438111,7.30185,2763.0032221682754
1656909820,600000,3165412,41.72161102294922,3.2909998893737793,3.0993406772613525,122,11,0,2022-07-04T07:43:40,455,7.593333333333334,1656909828.73592,2022-07-04T07:43:48,454439,7.5739833333333335,2862.5813662643277
1656909827,741000,3172553,41.42857360839844,3.2929999828338623,3.023589611053467,69,11,0,2022-07-04T07:43:47,462,7.71235,1656909836.522137,2022-07-04T07:43:56,461580,7.693,2902.2972578476324
1656909829,781000,3174593,41.42857360839844,3.2929999828338623,3.023589611053467,127,11,0,2022-07-04T07:43:49,464,7.7463500000000005,1656909844.743224,2022-07-04T07:44:04,463620,7.727,2914.7008315938087
1656909843,33000,3187845,41.13553237915039,3.2929999828338623,3.018754482269287,244,11,0,2022-07-04T07:44:03,478,7.967216666666667,1656909853.204773,2022-07-04T07:44:13,476872,7.947866666666667,3020.1704529236695
1656909851,191000,3196003,41.13553237915039,3.2929999828338623,3.0203661918640137,218,11,0,2022-07-04T07:44:11,486,8.103183333333332,1656909857.9532359,2022-07-04T07:44:17,485030,8.083833333333333,3046.46691102316
1656909859,349000,3204161,40.5494499206543,3.2929999828338623,3.0203661918640137,194,11,0,2022-07-04T07:44:19,494,8.23915,1656909866.3726768,2022-07-04T07:44:26,493188,8.2198,3089.199616813642
1656909866,497000,3211309,40.5494499206543,3.2929999828338623,3.0252015590667725,142,11,0,2022-07-04T07:44:26,501,8.358283333333334,1656909874.593513,2022-07-04T07:44:34,500336,8.338933333333333,3127.293108685282
1656909871,595000,3216406,40.5494499206543,3.2860000133514404,3.105787515640259,31,11,0,2022-07-04T07:44:31,506,8.44325,1656909882.183956,2022-07-04T07:44:42,505433,8.423883333333333,3159.087576838157
1656909883,827000,3228639,40.256412506103516,3.2929999828338623,3.0219781398773193,123,11,0,2022-07-04T07:44:43,518,8.647116666666667,1656909889.76336,2022-07-04T07:44:49,517666,8.627766666666668,3234.867023742835
1656909887,908000,3232719,40.256412506103516,3.2929999828338623,3.0219781398773193,240,11,0,2022-07-04T07:44:47,522,8.715133333333334,1656909897.835733,2022-07-04T07:44:57,521746,8.695766666666666,3260.18796784424
1656909899,134000,3243945,39.67033004760742,3.2929999828338623,3.018754482269287,39,11,0,2022-07-04T07:44:59,534,8.902233333333333,1656909905.5835679,2022-07-04T07:45:05,532972,8.882866666666667,3331.092465649892
1656909907,315000,3252126,39.67033004760742,3.2929999828338623,3.0203661918640137,16,11,0,2022-07-04T07:45:07,542,9.038583333333333,1656909914.0443199,2022-07-04T07:45:14,541153,9.019216666666667,3382.7644500208203
1656909914,457000,3259269,39.67033004760742,3.2880001068115234,3.097728967666626,220,11,0,2022-07-04T07:45:14,549,9.157616666666666,1656909922.123836,2022-07-04T07:45:22,548296,9.138266666666668,3423.7193867226783
1656909918,539000,3263351,39.67033004760742,3.2929999828338623,3.0203661918640137,80,11,0,2022-07-04T07:45:18,553,9.22565,1656909929.6353478,2022-07-04T07:45:29,552378,9.2063,3445.6868222792227
1656909928,732000,3273543,39.377288818359375,3.2929999828338623,3.0203661918640137,114,11,0,2022-07-04T07:45:28,563,9.395533333333333,1656909937.186465,2022-07-04T07:45:37,562570,9.376166666666668,3505.0103851388862
1656909936,888000,3281699,39.08424758911133,3.2929999828338623,3.0203661918640137,91,11,0,2022-07-04T07:45:36,571,9.531466666666667,1656909945.4057438,2022-07-04T07:45:45,570726,9.5121,3551.067464162462
1656909944,35000,3288846,39.08424758911133,3.2929999828338623,3.018754482269287,34,11,0,2022-07-04T07:45:44,579,9.650583333333334,1656909953.104877,2022-07-04T07:45:53,577873,9.631216666666667,3595.3505718023803
1656909955,262000,3300073,38.4981689453125,3.2909998893737793,3.0799999237060547,95,11,0,2022-07-04T07:45:55,590,9.8377,1656909969.69484,2022-07-04T07:46:09,589100,9.818333333333333,3666.071870706503
1656909967,497000,3312308,38.79121017456055,3.2929999828338623,3.0203661918640137,188,11,0,2022-07-04T07:46:07,602,10.041616666666666,1656909977.2942128,2022-07-04T07:46:17,601335,10.022250000000001,3741.8527401628644
1656909971,583000,3316394,38.4981689453125,3.2880001068115234,3.1138463020324707,48,11,0,2022-07-04T07:46:11,606,10.109716666666666,1656909981.965349,2022-07-04T07:46:21,605421,10.09035,3767.457513543835
1656909990,965000,3335776,37.912086486816406,3.2929999828338623,3.0203661918640137,87,11,0,2022-07-04T07:46:30,625,10.43275,1656909997.53564,2022-07-04T07:46:37,624803,10.413383333333334,3881.0131177497638
