time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909108,757945,2454833,nan,nan,41,10,3,2022-07-04T07:31:48,-257,-4.270700916666667,1656909119.653105,2022-07-04T07:31:59,-256140,-4.269,96.62761461721468
1656909125,171659,2471247,0.00457763671875,7.960000038146973,173,10,3,2022-07-04T07:32:05,-240,-3.9971390166666665,1656909135.7423809,2022-07-04T07:32:15,-239726,-3.995433333333333,96.86771681371387
1656909142,71730,2488147,0.00732421875,7.815999984741211,59,10,3,2022-07-04T07:32:22,-223,-3.7154711666666667,1656909151.664945,2022-07-04T07:32:31,-222826,-3.7137666666666664,97.42530426558359
1656909156,340704,2502416,0.00457763671875,7.952000141143799,175,10,3,2022-07-04T07:32:36,-209,-3.4776549333333335,1656909168.766284,2022-07-04T07:32:48,-208557,-3.4759499999999997,97.1439797309038
1656909204,226291,2549733,nan,nan,63,10,3,2022-07-04T07:33:24,-161,-2.679561816666667,1656909212.900584,2022-07-04T07:33:32,-161240,-2.6873333333333336,96.81296922075536
1656909235,459014,2580533,nan,nan,59,10,3,2022-07-04T07:33:55,-130,-2.1590164333333335,1656909244.9477398,2022-07-04T07:34:04,-130440,-2.174,96.94937316193233
1656909252,94340,2597169,0.00640869140625,7.76800012588501,201,10,3,2022-07-04T07:34:12,-113,-1.881761,1656909261.0016,2022-07-04T07:34:21,-113804,-1.8967333333333334,96.95238727673178
1656909268,700703,2613775,0.00640869140625,7.776000022888184,87,10,3,2022-07-04T07:34:28,-97,-1.6049882833333333,1656909277.254957,2022-07-04T07:34:37,-97198,-1.6199666666666666,97.96544427774185
1656909282,728931,2627803,0.00457763671875,7.955999851226807,203,10,3,2022-07-04T07:34:42,-83,-1.3711844833333333,1656909292.867992,2022-07-04T07:34:52,-83170,-1.3861666666666668,97.59092912373261
1656909298,648767,2643723,nan,nan,79,10,3,2022-07-04T07:34:58,-67,-1.1058538833333331,1656909309.303612,2022-07-04T07:35:09,-67250,-1.1208333333333333,97.83720847336696
1656909313,642447,2658717,0.00457763671875,7.952000141143799,205,10,3,2022-07-04T07:35:13,-52,-0.8559592166666667,1656909321.2534559,2022-07-04T07:35:21,-52256,-0.8709333333333333,97.77531829645461
1656909328,174764,2673249,0.00732421875,7.840000152587891,69,10,3,2022-07-04T07:35:28,-37,-0.6137539333333333,1656909337.057704,2022-07-04T07:35:37,-37724,-0.6287333333333333,98.58285142136383
1656909344,351523,2689426,0.0054931640625,7.943999767303467,205,10,3,2022-07-04T07:35:44,-21,-0.3441412833333333,1656909353.790529,2022-07-04T07:35:53,-21547,-0.3591166666666667,98.59013459021854
1656909359,88971,2704163,nan,nan,75,10,3,2022-07-04T07:35:59,-6,-0.09851715,1656909368.7737958,2022-07-04T07:36:08,-6810,-0.11349999999999999,97.88756715770968
1656909372,528935,2717603,nan,nan,185,10,3,2022-07-04T07:36:12,7,0.12548225,1656909384.144629,2022-07-04T07:36:24,6630,0.1105,133.77070792487686
1656909390,448969,2735523,0.00457763671875,7.883999824523926,81,10,3,2022-07-04T07:36:30,25,0.42414948333333335,1656909400.656612,2022-07-04T07:36:40,24550,0.4091666666666667,237.94678571563432
1656909421,459715,2766533,0.00457763671875,7.808000087738037,87,10,3,2022-07-04T07:37:01,56,0.9409952500000001,1656909431.6780598,2022-07-04T07:37:11,55560,0.926,429.47753625732446
1656909440,59948,2785133,nan,nan,245,10,3,2022-07-04T07:37:20,75,1.2509991333333335,1656909449.061461,2022-07-04T07:37:29,74160,1.236,541.6771350330064
1656909456,541653,2801615,nan,nan,125,10,3,2022-07-04T07:37:36,91,1.5256942166666667,1656909464.4442449,2022-07-04T07:37:44,90642,1.5107,648.3286876672905
1656909471,514217,2816587,0.00457763671875,7.6519999504089355,251,10,3,2022-07-04T07:37:51,106,1.77523695,1656909480.125241,2022-07-04T07:38:00,105614,1.7602333333333333,744.4901490313044
1656909488,431640,2833505,0.0054931640625,7.5279998779296875,137,10,3,2022-07-04T07:38:08,123,2.057194,1656909497.006569,2022-07-04T07:38:17,122532,2.0422,842.7767084888663
1656909519,496872,2864570,nan,nan,149,10,3,2022-07-04T07:38:39,154,2.5749478666666668,1656909528.5102038,2022-07-04T07:38:48,153597,2.55995,1027.970653190034
1656909535,203808,2880277,0.00457763671875,7.627999782562256,19,10,3,2022-07-04T07:38:55,170,2.8367301333333335,1656909544.570737,2022-07-04T07:39:04,169304,2.8217333333333334,1119.2128758764134
1656909550,200375,2895274,nan,nan,145,10,3,2022-07-04T07:39:10,185,3.0866729166666667,1656909561.452152,2022-07-04T07:39:21,184301,3.071683333333333,1212.528311031978
1656909565,845334,2910919,nan,nan,21,10,3,2022-07-04T07:39:25,200,3.3474222333333334,1656909573.9721599,2022-07-04T07:39:33,199946,3.3324333333333334,1300.3239966901008
1656909582,739857,2927813,nan,nan,163,10,3,2022-07-04T07:39:42,217,3.6289976166666666,1656909590.6230528,2022-07-04T07:39:50,216840,3.614,1422.9053875804339
1656909598,161597,2943234,0.00640869140625,7.415999889373779,33,10,3,2022-07-04T07:39:58,233,3.886026616666667,1656909606.5553439,2022-07-04T07:40:06,232261,3.8710166666666668,1499.4758917153556
1656909613,602378,2958675,0.00640869140625,7.4039998054504395,159,10,3,2022-07-04T07:40:13,248,4.143372966666666,1656909622.135484,2022-07-04T07:40:22,247702,4.1283666666666665,1589.35991260826
1656909629,100057,2974173,0.00732421875,7.400000095367432,35,10,3,2022-07-04T07:40:29,264,4.401667616666667,1656909638.63782,2022-07-04T07:40:38,263200,4.386666666666667,1682.806127267149
1656909646,40491,2991113,nan,nan,177,10,3,2022-07-04T07:40:46,281,4.684008183333333,1656909654.508132,2022-07-04T07:40:54,280140,4.669,1787.253943434579
1656909678,9049,3023082,nan,nan,189,10,3,2022-07-04T07:41:18,313,5.216817483333333,1656909686.470412,2022-07-04T07:41:26,312109,5.201816666666667,1987.8285391994286
1656909693,90663,3038163,0.00732421875,7.395999908447266,59,10,3,2022-07-04T07:41:33,328,5.468177716666667,1656909703.2686439,2022-07-04T07:41:43,327190,5.453166666666666,2087.7997032698217
1656909709,12128,3054153,0.00457763671875,7.604000091552734,191,10,3,2022-07-04T07:41:49,344,5.733535466666667,1656909716.0868568,2022-07-04T07:41:56,343180,5.719666666666667,2190.838662180861
1656909722,456550,3067597,nan,nan,45,10,3,2022-07-04T07:42:02,357,5.957609166666667,1656909731.421929,2022-07-04T07:42:11,356624,5.943733333333333,2275.858203648063
1656909739,891197,3085032,nan,nan,193,10,3,2022-07-04T07:42:19,374,6.248186616666667,1656909747.949944,2022-07-04T07:42:27,374059,6.234316666666667,2382.594390084426
1656909753,669436,3098810,0.00457763671875,7.579999923706055,51,10,3,2022-07-04T07:42:33,388,6.477823933333334,1656909763.3002799,2022-07-04T07:42:43,387837,6.46395,2464.2607413487704
1656909786,353170,3131494,0.00457763671875,7.567999839782715,65,10,3,2022-07-04T07:43:06,421,7.022552833333333,1656909795.602764,2022-07-04T07:43:15,420521,7.008683333333334,2655.436200039511
1656909799,523245,3144886,0.00457763671875,7.572000026702881,175,10,3,2022-07-04T07:43:19,434,7.242054083333333,1656909807.781944,2022-07-04T07:43:27,433913,7.231883333333333,2733.9040079991037
1656909831,790711,3177153,nan,nan,193,10,3,2022-07-04T07:43:51,466,7.779845183333333,1656909840.062276,2022-07-04T07:44:00,466180,7.769666666666667,2934.8433452558866
1656909847,404144,3192476,0.00457763671875,7.547999858856201,63,10,3,2022-07-04T07:44:07,482,8.040069066666666,1656909856.152704,2022-07-04T07:44:16,481503,8.02505,3034.2603775427965
1656909862,511618,3207583,nan,nan,189,10,3,2022-07-04T07:44:22,497,8.2918603,1656909872.24448,2022-07-04T07:44:32,496610,8.276833333333334,3106.1126195973866
1656909879,244768,3224316,0.00732421875,7.360000133514404,75,10,3,2022-07-04T07:44:39,514,8.570746133333333,1656909888.1231449,2022-07-04T07:44:48,513343,8.555716666666665,3206.5146721174224
1656909895,412815,3240484,0.00732421875,7.335999965667725,207,10,3,2022-07-04T07:44:55,530,8.840213583333334,1656909903.8044488,2022-07-04T07:45:03,529511,8.825183333333333,3307.589102593868
