time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909419,773000,2764588,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,31,11,0,2022-07-04T07:36:59,54,0.9128833333333334,1656909430.459388,2022-07-04T07:37:10,53615,0.8935833333333334,419.57861454471663
1656909434,60000,2778875,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,177,11,0,2022-07-04T07:37:14,69,1.151,1656909441.2505999,2022-07-04T07:37:21,67902,1.1317,507.45188956767055
1656909459,548000,2804363,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,134,11,0,2022-07-04T07:37:39,94,1.5758,1656909465.555364,2022-07-04T07:37:45,93390,1.5565,668.1381184589668
1656909470,750000,2815565,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,197,11,0,2022-07-04T07:37:50,105,1.7625,1656909479.044973,2022-07-04T07:37:59,104592,1.7432,739.731322025485
1656909481,960000,2826774,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,3,11,0,2022-07-04T07:38:01,116,1.9493333333333331,1656909489.7261329,2022-07-04T07:38:09,115801,1.9300166666666667,806.4105670235823
1656909494,195000,2839010,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,90,11,0,2022-07-04T07:38:14,129,2.15325,1656909503.6274688,2022-07-04T07:38:23,128037,2.13395,874.4557351946412
1656909505,411000,2850225,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,154,11,0,2022-07-04T07:38:25,140,2.3401833333333335,1656909514.012097,2022-07-04T07:38:34,139252,2.320866666666667,940.4190007890442
1656909517,643000,2862457,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,246,11,0,2022-07-04T07:38:37,152,2.54405,1656909527.909149,2022-07-04T07:38:47,151484,2.5247333333333333,1016.227914080056
1656909529,881000,2874695,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,83,11,0,2022-07-04T07:38:49,164,2.7480166666666666,1656909538.5599089,2022-07-04T07:38:58,163722,2.7287000000000003,1086.276511992188
1656909542,125000,2886939,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,167,11,0,2022-07-04T07:39:02,177,2.9520833333333334,1656909548.875592,2022-07-04T07:39:08,175966,2.9327666666666667,1161.7700400551803
1656909554,365000,2899179,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,4,11,0,2022-07-04T07:39:14,189,3.1560833333333336,1656909562.616324,2022-07-04T07:39:22,188206,3.1367666666666665,1237.7770519555909
1656909566,601000,2911415,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,97,11,0,2022-07-04T07:39:26,201,3.3600166666666667,1656909573.392268,2022-07-04T07:39:33,200442,3.3407,1304.4410023050723
1656909577,816000,2922630,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,160,11,0,2022-07-04T07:39:37,212,3.5469333333333335,1656909587.103097,2022-07-04T07:39:47,211657,3.527616666666667,1376.602195726483
1656909591,69000,2935882,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,20,11,0,2022-07-04T07:39:51,226,3.7678166666666666,1656909597.724856,2022-07-04T07:39:57,224909,3.748483333333333,1475.2075744704155
1656909601,262000,2946076,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,53,11,0,2022-07-04T07:40:01,236,3.9377,1656909611.394173,2022-07-04T07:40:11,235103,3.9183833333333333,1511.6989456120134
1656909613,493000,2958306,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,146,11,0,2022-07-04T07:40:13,248,4.14155,1656909622.135484,2022-07-04T07:40:22,247333,4.122216666666667,1588.6048146855142
1656909624,717000,2969530,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,209,11,0,2022-07-04T07:40:24,259,4.328616666666666,1656909632.685545,2022-07-04T07:40:32,258557,4.309283333333334,1656.563917863377
1656909650,201000,2995015,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,159,11,0,2022-07-04T07:40:50,285,4.75335,1656909656.787297,2022-07-04T07:40:56,284042,4.734033333333333,1811.3219049620911
1656909673,657000,3018471,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,59,11,0,2022-07-04T07:41:13,308,5.144283333333333,1656909680.537396,2022-07-04T07:41:20,307498,5.1249666666666664,1960.055019361703
1656909697,119000,3041932,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,207,11,0,2022-07-04T07:41:37,332,5.5353166666666676,1656909705.1890118,2022-07-04T07:41:45,330959,5.515983333333334,2113.863445416328
1656909710,380000,3055193,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,74,11,0,2022-07-04T07:41:50,345,5.756333333333333,1656909716.639485,2022-07-04T07:41:56,344220,5.737,2199.653048924092
1656909714,459000,3059272,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,190,11,0,2022-07-04T07:41:54,349,5.824316666666666,1656909728.991572,2022-07-04T07:42:08,348299,5.804983333333333,2226.4193552914235
1656909730,786000,3075598,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,142,11,0,2022-07-04T07:42:10,365,6.096433333333334,1656909739.509961,2022-07-04T07:42:19,364625,6.077083333333333,2329.0132957074684
1656909756,317000,3101129,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,93,11,0,2022-07-04T07:42:36,391,6.52195,1656909763.940461,2022-07-04T07:42:43,390156,6.5026,2480.305718926719
1656909779,799000,3124612,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,249,11,0,2022-07-04T07:42:59,414,6.913316666666666,1656909788.171336,2022-07-04T07:43:08,413639,6.893983333333334,2617.5596249677465
1656909787,958000,3132770,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,224,11,0,2022-07-04T07:43:07,422,7.049300000000001,1656909798.0234249,2022-07-04T07:43:18,421797,7.02995,2664.7729715966107
1656909803,251000,3148063,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,141,11,0,2022-07-04T07:43:23,438,7.304183333333333,1656909812.052088,2022-07-04T07:43:32,437090,7.284833333333333,2756.746782813808
1656909826,718000,3171530,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,41,11,0,2022-07-04T07:43:46,461,7.6953000000000005,1656909832.931937,2022-07-04T07:43:52,460557,7.67595,2896.925973276758
1656909829,781000,3174593,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,128,11,0,2022-07-04T07:43:49,464,7.7463500000000005,1656909845.9936159,2022-07-04T07:44:05,463620,7.727,2914.7008315938087
1656909848,132000,3192944,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,131,11,0,2022-07-04T07:44:08,483,8.052200000000001,1656909856.152704,2022-07-04T07:44:16,481971,8.03285,3036.6065450846527
1656909860,368000,3205180,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,225,11,0,2022-07-04T07:44:20,495,8.256133333333333,1656909870.092664,2022-07-04T07:44:30,494207,8.236783333333333,3094.7202668297937
1656909871,595000,3216406,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,32,11,0,2022-07-04T07:44:31,506,8.44325,1656909880.565953,2022-07-04T07:44:40,505433,8.423883333333333,3159.087576838157
1656909896,62000,3240874,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,211,11,0,2022-07-04T07:44:56,531,8.851033333333334,1656909904.3834078,2022-07-04T07:45:04,529901,8.831683333333332,3311.6894176132837
1656909908,335000,3253147,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,46,11,0,2022-07-04T07:45:08,543,9.055583333333335,1656909915.213532,2022-07-04T07:45:15,542174,9.036233333333334,3389.206868314225
1656909918,539000,3263351,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,81,11,0,2022-07-04T07:45:18,553,9.22565,1656909927.813905,2022-07-04T07:45:27,552378,9.2063,3445.6868222792227
1656909929,750000,3274561,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,144,11,0,2022-07-04T07:45:29,564,9.4125,1656909938.315008,2022-07-04T07:45:38,563588,9.393133333333333,3510.7590494897936
1656909941,992000,3286803,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,235,11,0,2022-07-04T07:45:41,576,9.616533333333333,1656909948.974093,2022-07-04T07:45:48,575830,9.597166666666668,3582.4816546846314
1656909971,583000,3316394,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,49,11,0,2022-07-04T07:46:11,606,10.109716666666666,1656909986.185037,2022-07-04T07:46:26,605421,10.09035,3767.457513543835
1656909984,836000,3329647,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:46:24,619,10.3306,1656909995.8142638,2022-07-04T07:46:35,618674,10.311233333333332,3846.7808340267584
1656909999,143000,3343954,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,58,11,0,2022-07-04T07:46:39,634,10.56905,1656910006.667549,2022-07-04T07:46:46,632981,10.549683333333332,3927.5211846169473
1656910012,411000,3357222,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,181,11,0,2022-07-04T07:46:52,647,10.790183333333333,1656910020.294541,2022-07-04T07:47:00,646249,10.770816666666667,4007.080730562161
1656910018,534000,3363344,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,99,11,0,2022-07-04T07:46:58,653,10.892233333333333,1656910030.716073,2022-07-04T07:47:10,652371,10.87285,4043.042281634031
1656910045,44000,3389855,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,81,11,0,2022-07-04T07:47:25,680,11.334066666666667,1656910054.445448,2022-07-04T07:47:34,678882,11.314699999999998,4200.939213844755
1656910069,535000,3414345,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,8,11,0,2022-07-04T07:47:49,704,11.74225,1656910078.636493,2022-07-04T07:47:58,703372,11.722866666666667,4341.67974552425
1656910094,7000,3438818,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,190,11,0,2022-07-04T07:48:14,729,12.150116666666666,1656910103.755821,2022-07-04T07:48:23,727845,12.13075,4493.683961900581
1656910128,711000,3473522,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,149,11,0,2022-07-04T07:48:48,763,12.728516666666668,1656910138.128396,2022-07-04T07:48:58,762549,12.70915,4733.744809491199
1656910141,962000,3486773,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,14,11,0,2022-07-04T07:49:01,776,12.949366666666666,1656910148.626329,2022-07-04T07:49:08,775800,12.93,4783.063769062875
1656910165,416000,3510226,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,164,11,0,2022-07-04T07:49:25,800,13.340266666666668,1656910172.725296,2022-07-04T07:49:32,799253,13.320883333333335,4925.864339952962
1656910176,639000,3521449,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,227,11,0,2022-07-04T07:49:36,811,13.527316666666668,1656910185.845381,2022-07-04T07:49:45,810476,13.507933333333334,4995.534109723595
1656910187,866000,3532676,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,35,11,0,2022-07-04T07:49:47,822,13.714433333333334,1656910195.76756,2022-07-04T07:49:55,821703,13.69505,5066.370275720962
1656910200,112000,3544922,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,118,11,0,2022-07-04T07:50:00,835,13.918533333333333,1656910206.7152328,2022-07-04T07:50:06,833949,13.899149999999999,5139.170223339537
1656910212,369000,3557179,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,212,11,0,2022-07-04T07:50:12,847,14.122816666666667,1656910220.114593,2022-07-04T07:50:20,846206,14.103433333333333,5219.400765862868
1656910223,603000,3568413,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,19,11,0,2022-07-04T07:50:23,858,14.310049999999999,1656910230.725292,2022-07-04T07:50:30,857440,14.290666666666668,5289.596479217964
1656910248,87000,3592897,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,197,11,0,2022-07-04T07:50:48,883,14.718116666666667,1656910256.9352648,2022-07-04T07:50:56,881924,14.698733333333333,5466.0235661287925
1656910272,571000,3617381,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,126,11,0,2022-07-04T07:51:12,907,15.126183333333334,1656910278.993872,2022-07-04T07:51:18,906408,15.1068,5608.947580518029
1656910283,787000,3628597,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,189,11,0,2022-07-04T07:51:23,918,15.313116666666668,1656910293.383368,2022-07-04T07:51:33,917624,15.293733333333334,5677.903450867001
1656910296,21000,3640831,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,22,11,0,2022-07-04T07:51:36,931,15.517016666666667,1656910304.214845,2022-07-04T07:51:44,929858,15.497633333333333,5747.183227987149
1656910308,255000,3653065,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,111,11,0,2022-07-04T07:51:48,943,15.720916666666666,1656910314.37388,2022-07-04T07:51:54,942092,15.701533333333334,5816.5649380643745
1656910319,476000,3664286,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,175,11,0,2022-07-04T07:51:59,954,15.907933333333334,1656910328.142464,2022-07-04T07:52:08,953313,15.88855,5890.237471957238
1656910331,709000,3676519,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,11,11,0,2022-07-04T07:52:11,966,16.111816666666666,1656910338.861924,2022-07-04T07:52:18,965546,16.092433333333336,5972.651443135528
1656910343,947000,3688757,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,101,11,0,2022-07-04T07:52:23,978,16.315783333333332,1656910352.2238278,2022-07-04T07:52:32,977784,16.2964,6049.759280334244
1656910365,367000,3710177,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,195,11,0,2022-07-04T07:52:45,1000,16.67278333333333,1656910372.741832,2022-07-04T07:52:52,999204,16.653399999999998,6179.322486160253
1656910377,608000,3722419,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,31,11,0,2022-07-04T07:52:57,1012,16.8768,1656910386.5814,2022-07-04T07:53:06,1011446,16.857433333333333,6252.359647907727
1656910388,829000,3733639,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,95,11,0,2022-07-04T07:53:08,1023,17.063816666666664,1656910396.503772,2022-07-04T07:53:16,1022666,17.044433333333334,6318.602871084447
1656910401,80000,3745890,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,181,11,0,2022-07-04T07:53:21,1036,17.267999999999997,1656910410.4814599,2022-07-04T07:53:30,1034917,17.248616666666667,6391.235954137754
1656910412,304000,3757114,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,244,11,0,2022-07-04T07:53:32,1047,17.455066666666667,1656910420.4019969,2022-07-04T07:53:40,1046141,17.435683333333333,6458.459235711674
1656910424,563000,3769373,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,81,11,0,2022-07-04T07:53:44,1059,17.659383333333334,1656910430.492049,2022-07-04T07:53:50,1058400,17.64,6538.237713767172
1656910436,801000,3781611,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,173,11,0,2022-07-04T07:53:56,1071,17.86335,1656910444.18014,2022-07-04T07:54:04,1070638,17.843966666666667,6614.536966465183
1656910448,19000,3792830,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,233,11,0,2022-07-04T07:54:08,1083,18.050316666666667,1656910454.8006358,2022-07-04T07:54:14,1081857,18.03095,6685.656378477608
1656910460,269000,3805079,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,66,11,0,2022-07-04T07:54:20,1095,18.254483333333333,1656910468.269901,2022-07-04T07:54:28,1094106,18.2351,6760.910334007481
1656910471,493000,3816303,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,130,11,0,2022-07-04T07:54:31,1106,18.44155,1656910479.1881518,2022-07-04T07:54:39,1105330,18.422166666666666,6829.108876837922
1656910492,899000,3837710,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,228,11,0,2022-07-04T07:54:52,1127,18.798316666666665,1656910502.689352,2022-07-04T07:55:02,1126737,18.778950000000002,6957.654518950487
1656910504,119000,3848929,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,28,11,0,2022-07-04T07:55:04,1139,18.985316666666666,1656910513.440697,2022-07-04T07:55:13,1137956,18.965933333333332,7024.406276740458
1656910516,351000,3861162,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,121,11,0,2022-07-04T07:55:16,1151,19.189183333333336,1656910527.249033,2022-07-04T07:55:27,1150189,19.16981666666667,7096.565481597696
1656910541,858000,3886668,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,79,11,0,2022-07-04T07:55:41,1176,19.6143,1656910551.3789089,2022-07-04T07:55:51,1175695,19.594916666666666,7247.219471227119
1656910554,88000,3898899,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,163,11,0,2022-07-04T07:55:54,1189,19.818133333333332,1656910562.1330318,2022-07-04T07:56:02,1187926,19.798766666666666,7323.442112255961
1656910566,333000,3911144,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,0,11,0,2022-07-04T07:56:06,1201,20.02221666666667,1656910575.7485929,2022-07-04T07:56:15,1200171,20.002850000000002,7401.759698819458
1656910578,564000,3923374,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,92,11,0,2022-07-04T07:56:18,1213,20.226066666666668,1656910586.018652,2022-07-04T07:56:26,1212401,20.206683333333334,7496.483869469068
1656910585,704000,3930515,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,39,11,0,2022-07-04T07:56:25,1220,20.345066666666664,1656910595.847581,2022-07-04T07:56:35,1219542,20.325699999999998,7549.699290192577
1656910602,13000,3946824,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,245,11,0,2022-07-04T07:56:42,1237,20.61688333333333,1656910609.697521,2022-07-04T07:56:49,1235851,20.597516666666667,7654.912421043882
1656910613,233000,3958044,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,48,11,0,2022-07-04T07:56:53,1248,20.80388333333333,1656910620.517328,2022-07-04T07:57:00,1247071,20.784516666666665,7724.029112478717
1656910636,686000,3981497,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,204,11,0,2022-07-04T07:57:16,1271,21.194766666666666,1656910644.937397,2022-07-04T07:57:24,1270524,21.1754,7865.694532155929
1656910669,320000,4014131,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,102,11,0,2022-07-04T07:57:49,1304,21.738666666666667,1656910679.201825,2022-07-04T07:57:59,1303158,21.719299999999997,8067.98490447562
1656910730,471000,4075283,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,45,11,0,2022-07-04T07:58:50,1365,22.75785,1656910737.526176,2022-07-04T07:58:57,1364310,22.7385,8474.870264307056
1656910743,726000,4088538,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,166,11,0,2022-07-04T07:59:03,1378,22.97876666666667,1656910751.3251529,2022-07-04T07:59:11,1377565,22.959416666666666,8559.927339665828
1656910754,941000,4099753,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,230,11,0,2022-07-04T07:59:14,1389,23.165683333333334,1656910761.894989,2022-07-04T07:59:21,1388780,23.146333333333335,8640.027155289257
1656910767,183000,4111995,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,59,11,0,2022-07-04T07:59:27,1402,23.369716666666665,1656910772.564673,2022-07-04T07:59:32,1401022,23.350366666666666,8720.661522880095
1656910778,400000,4123212,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,123,11,0,2022-07-04T07:59:38,1413,23.55666666666667,1656910786.414284,2022-07-04T07:59:46,1412239,23.537316666666666,8800.189802250394
1656910785,534000,4130346,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,70,11,0,2022-07-04T07:59:45,1420,23.67556666666667,1656910796.9746559,2022-07-04T07:59:56,1419373,23.65621666666667,8843.612584779752
1656910799,805000,4144617,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,221,11,0,2022-07-04T07:59:59,1434,23.913416666666667,1656910810.644521,2022-07-04T08:00:10,1433644,23.894066666666667,8928.445072267174
1656910811,35000,4155847,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,23,11,0,2022-07-04T08:00:11,1446,24.100583333333336,1656910821.275553,2022-07-04T08:00:21,1444874,24.081233333333333,8994.154608376772
1656910837,537000,4182350,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,7,11,0,2022-07-04T08:00:37,1472,24.542283333333334,1656910845.3241558,2022-07-04T08:00:45,1471377,24.522949999999998,9181.388759756072
1656910848,739000,4193552,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,70,11,0,2022-07-04T08:00:48,1483,24.728983333333336,1656910856.0144289,2022-07-04T08:00:56,1482579,24.70965,9257.473686044535
1656910860,981000,4205794,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,161,11,0,2022-07-04T08:01:00,1495,24.933016666666667,1656910869.8527958,2022-07-04T08:01:09,1494821,24.91368333333333,9320.914586391082
1656910869,137000,4213950,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,132,11,0,2022-07-04T08:01:09,1504,25.068949999999997,1656910880.372925,2022-07-04T08:01:20,1502977,25.04961666666667,9368.450270871106
1656910879,342000,4224155,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,167,11,0,2022-07-04T08:01:19,1514,25.239033333333335,1656910893.4744718,2022-07-04T08:01:33,1513182,25.2197,9428.649947905556
1656910895,658000,4240471,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,119,11,0,2022-07-04T08:01:35,1530,25.510966666666665,1656910903.463189,2022-07-04T08:01:43,1529498,25.491633333333333,9550.411244969106
