time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909551,457000,2881997,1,1,1,1,208,12,0,2022-07-04T07:39:11,186,3.1076166666666665,1656909557.8420088,2022-07-04T07:39:17,171024,2.8504,1220.4870615881143
1656909562,875000,2893397,1,1,1,1,78,12,0,2022-07-04T07:39:22,197,3.2979166666666666,1656909570.9694998,2022-07-04T07:39:30,182424,3.0404,1284.141077574591
1656909574,44000,2904697,1,1,1,1,202,12,0,2022-07-04T07:39:34,209,3.4840666666666666,1656909581.7648609,2022-07-04T07:39:41,193724,3.228733333333333,1347.5156798684818
1656909581,301000,2917197,1,1,1,1,83,12,0,2022-07-04T07:39:41,216,3.6050166666666663,1656909595.445468,2022-07-04T07:39:55,206224,3.4370666666666665,1409.3745982578762
1656909599,22000,2929197,1,1,1,1,215,12,0,2022-07-04T07:39:59,234,3.9003666666666663,1656909605.9944649,2022-07-04T07:40:05,218224,3.6370666666666667,1502.4198814785548
1656909610,644000,2940897,1,1,1,1,88,12,0,2022-07-04T07:40:10,245,4.0940666666666665,1656909619.56446,2022-07-04T07:40:19,229924,3.832066666666667,1568.9365634658627
1656909621,478000,2952197,1,1,1,1,212,12,0,2022-07-04T07:40:21,256,4.274633333333333,1656909630.4960558,2022-07-04T07:40:30,241224,4.0203999999999995,1637.1713988386832
1656909634,705000,2964897,1,1,1,1,96,12,0,2022-07-04T07:40:34,269,4.495083333333333,1656909640.896385,2022-07-04T07:40:40,253924,4.232066666666666,1716.244227078678
1656909643,744000,2973897,1,1,1,1,195,12,0,2022-07-04T07:40:43,278,4.645733333333334,1656909654.508132,2022-07-04T07:40:54,262924,4.382066666666666,1772.1892839563216
1656909657,295000,2987497,1,1,1,1,89,12,0,2022-07-04T07:40:57,292,4.871583333333334,1656909665.207336,2022-07-04T07:41:05,276524,4.608733333333333,1852.5353109070172
1656909671,391000,3001397,1,1,1,1,242,12,0,2022-07-04T07:41:11,306,5.106516666666667,1656909678.777488,2022-07-04T07:41:18,290424,4.8404,1945.5799600492983
1656909681,938000,3011997,1,1,1,1,102,12,0,2022-07-04T07:41:21,316,5.2823,1656909689.259785,2022-07-04T07:41:29,301024,5.017066666666667,2013.9935714747044
1656909694,910000,3024697,1,1,1,1,242,12,0,2022-07-04T07:41:34,329,5.498500000000001,1656909703.2686439,2022-07-04T07:41:43,313724,5.2287333333333335,2099.50917145731
