time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,871800,2459208,2457386,2345852,1642,789,2,71,239,2457893,141,13,3,2022-07-04T07:31:52,-253,-4.202136666666666,1656909126.804857,2022-07-04T07:32:06,-251765,-4.196083333333333,96.83211852962263
1656909150,974900,2497466,2496166,2345852,1667,814,2,96,246,2494034,108,13,3,2022-07-04T07:32:30,-215,-3.567085,1656909160.983644,2022-07-04T07:32:40,-213507,-3.55845,97.30251704140693
1656909189,528900,2535864,2534996,2529872,1692,838,2,3,253,2532103,76,13,3,2022-07-04T07:33:09,-176,-2.9245183333333333,1656909196.594573,2022-07-04T07:33:16,-175109,-2.9184833333333335,96.27308497170706
1656909228,765900,2574324,2573070,2573070,1717,852,2,0,258,2558218,64,13,3,2022-07-04T07:33:48,-137,-2.2705683333333337,1656909237.155813,2022-07-04T07:33:57,-136649,-2.2774833333333335,96.59381866455078
1656909266,704900,2612038,2610910,2581681,1742,871,2,19,264,2609596,42,13,3,2022-07-04T07:34:26,-99,-1.6382516666666667,1656909276.057077,2022-07-04T07:34:36,-98935,-1.6489166666666668,98.08835561262963
1656909305,941700,2651274,2650406,2581681,1767,896,2,44,271,2646562,7,13,3,2022-07-04T07:35:05,-60,-0.9843050000000001,1656909313.361948,2022-07-04T07:35:13,-59699,-0.9949833333333333,97.99569931504182
1656909345,226300,2690558,2688870,2581681,1792,921,2,69,279,2688181,228,13,3,2022-07-04T07:35:45,-20,-0.3295616666666667,1656909353.1504278,2022-07-04T07:35:53,-20415,-0.34025,98.56999934028951
1656909384,230000,2729561,2728160,2581681,1817,946,2,94,286,2725051,195,13,3,2022-07-04T07:36:24,19,0.3205,1656909393.6346729,2022-07-04T07:36:33,18588,0.3098,200.73315267186132
1656909423,418600,2768748,2767880,2581681,1842,971,2,119,294,2767187,160,13,3,2022-07-04T07:37:03,58,0.9736433333333333,1656909432.829588,2022-07-04T07:37:12,57775,0.9629166666666666,441.97192626450453
1656909460,483200,2805812,2804758,2581681,1867,996,2,144,301,2804099,125,13,3,2022-07-04T07:37:40,95,1.5913866666666665,1656909466.1234648,2022-07-04T07:37:46,94839,1.5806499999999999,674.3388858374423
