time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909111,818467,2457996,45.9375,58,10,0,2022-07-04T07:31:51,-254,-4.219692216666667,1656909120.742897,2022-07-04T07:32:00,-252977,-4.216283333333333,96.88715721111932
1656909127,818458,2474093,46.0,190,10,0,2022-07-04T07:32:07,-238,-3.9530257,1656909136.913312,2022-07-04T07:32:16,-236880,-3.948,97.12855643423545
1656909143,978491,2490194,46.125,66,10,0,2022-07-04T07:32:23,-222,-3.683691816666667,1656909152.86184,2022-07-04T07:32:32,-220779,-3.67965,97.39900735219675
1656909157,978480,2504197,46.1875,182,10,0,2022-07-04T07:32:37,-208,-3.450358666666667,1656909169.357545,2022-07-04T07:32:49,-206776,-3.446266666666667,97.07027574158144
1656909175,988631,2522174,46.125,78,10,0,2022-07-04T07:32:55,-190,-3.1501894833333335,1656909185.3223279,2022-07-04T07:33:05,-188799,-3.14665,97.219857881712
1656909191,978463,2538214,46.1875,214,10,0,2022-07-04T07:33:11,-174,-2.883692283333333,1656909201.198741,2022-07-04T07:33:21,-172759,-2.8793166666666665,96.36844214695728
1656909205,556683,2551170,46.25,64,10,0,2022-07-04T07:33:25,-160,-2.6573886166666667,1656909213.539461,2022-07-04T07:33:33,-159803,-2.6633833333333334,96.79499970141207
1656909222,989538,2568225,46.3125,206,10,0,2022-07-04T07:33:42,-143,-2.366841033333333,1656909230.174008,2022-07-04T07:33:50,-142748,-2.3791333333333333,96.59381866455078
1656909270,999307,2616215,46.375,94,10,0,2022-07-04T07:34:30,-95,-1.5666782166666666,1656909278.4657638,2022-07-04T07:34:38,-94758,-1.5793,97.78810752260571
1656909286,19295,2631202,46.3125,220,10,0,2022-07-04T07:34:46,-79,-1.3163450833333334,1656909294.020377,2022-07-04T07:34:54,-79771,-1.3295166666666667,97.62014347167776
1656909300,29314,2645238,46.3125,80,10,0,2022-07-04T07:35:00,-65,-1.0828447666666667,1656909309.894913,2022-07-04T07:35:09,-65735,-1.0955833333333334,97.87719790200111
1656909317,19362,2662197,46.1875,222,10,0,2022-07-04T07:35:17,-48,-0.7996773,1656909322.3157809,2022-07-04T07:35:22,-48776,-0.8129333333333334,97.96363174872404
