time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,173800,2456510,0,1088,132,13,0,2022-07-04T07:31:50,-255,-4.2471033333333335,1656909120.19314,2022-07-04T07:32:00,-254463,-4.2410499999999995,96.81833353067681
1656909123,82600,2469419,0,1002,204,13,0,2022-07-04T07:32:03,-242,-4.031956666666667,1656909130.7857208,2022-07-04T07:32:10,-241554,-4.0259,96.49094879178782
1656909134,763700,2481424,0,1042,17,13,0,2022-07-04T07:32:14,-231,-3.8372716666666666,1656909144.846108,2022-07-04T07:32:24,-229549,-3.825816666666667,97.28411384815178
1656909147,75200,2493411,0,1016,89,13,0,2022-07-04T07:32:27,-218,-3.63208,1656909155.4123049,2022-07-04T07:32:35,-217562,-3.6260333333333334,97.35629938388963
1656909156,562100,2502898,0,1041,142,13,0,2022-07-04T07:32:36,-209,-3.473965,1656909169.357545,2022-07-04T07:32:49,-208075,-3.4679166666666665,97.13401636080923
1656909171,71900,2517684,0,1012,222,13,0,2022-07-04T07:32:51,-194,-3.232135,1656909180.0416489,2022-07-04T07:33:00,-193289,-3.221483333333333,97.11650070557938
1656909182,305600,2528641,0,1018,40,13,0,2022-07-04T07:33:02,-183,-3.044906666666667,1656909193.404028,2022-07-04T07:33:13,-182332,-3.0388666666666664,96.90482332235192
1656909189,876700,2536212,0,1015,84,13,0,2022-07-04T07:33:09,-176,-2.918721666666667,1656909204.097424,2022-07-04T07:33:24,-174761,-2.9126833333333333,96.26621199417383
1656909201,37200,2546804,0,1192,137,13,0,2022-07-04T07:33:21,-164,-2.7327133333333333,1656909214.1396918,2022-07-04T07:33:34,-164169,-2.7361500000000003,96.80906084066112
1656909210,234200,2561569,1,1014,234,13,0,2022-07-04T07:33:30,-155,-2.5794300000000003,1656909227.894429,2022-07-04T07:33:47,-149404,-2.4900666666666664,96.63947059583836
1656909230,837300,2576171,0,1015,86,13,0,2022-07-04T07:33:50,-135,-2.236045,1656909239.016077,2022-07-04T07:33:59,-134802,-2.2466999999999997,96.59381866455078
