time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909672,154900,3017479,0,2,1122784,2,1132839,2,1122784,2,1132791,64,13,0,2022-07-04T07:41:12,307,5.119248333333333,1656909679.317484,2022-07-04T07:41:19,306506,5.108433333333333,1950.469050971125
1656909683,120200,3028445,0,2,1122784,2,1132839,2,1122784,2,1132791,126,13,0,2022-07-04T07:41:23,318,5.302003333333333,1656909689.992657,2022-07-04T07:41:29,317472,5.2912,2022.0950450889422
1656909695,71400,3040395,0,2,1122784,2,1132839,2,1122784,2,1132791,197,13,0,2022-07-04T07:41:35,330,5.501189999999999,1656909704.0192358,2022-07-04T07:41:44,329422,5.4903666666666675,2100.5579626827443
1656909707,634200,3053026,0,2,1122784,2,1132839,2,1122784,2,1132791,13,13,0,2022-07-04T07:41:47,342,5.710570000000001,1656909714.890637,2022-07-04T07:41:54,342053,5.7008833333333335,2181.959475900034
1656909713,700,3058691,0,2,1122784,2,1132839,2,1122784,2,1132791,47,13,0,2022-07-04T07:41:53,348,5.800011666666666,1656909728.3905249,2022-07-04T07:42:08,347718,5.7953,2216.8206993671374
1656909730,243300,3075939,0,2,1122784,2,1132839,2,1122784,2,1132791,146,13,0,2022-07-04T07:42:10,365,6.087388333333333,1656909738.9500449,2022-07-04T07:42:18,364966,6.082766666666667,2325.8196844195
1656909755,15400,3100681,0,2,1122784,2,1132839,2,1122784,2,1132791,31,13,0,2022-07-04T07:42:35,390,6.500256666666667,1656909763.3002799,2022-07-04T07:42:43,389708,6.495133333333333,2472.4176592554672
1656909767,362900,3112754,0,2,1122784,2,1132839,2,1122784,2,1132791,102,13,0,2022-07-04T07:42:47,402,6.706048333333333,1656909774.141568,2022-07-04T07:42:54,401781,6.69635,2548.4981795063727
1656909771,801500,3117574,0,2,1122784,2,1132839,2,1122784,2,1132791,129,13,0,2022-07-04T07:42:51,406,6.780024999999999,1656909786.461544,2022-07-04T07:43:06,406601,6.776683333333334,2572.9660457497325
1656909787,907200,3133298,0,2,1122784,2,1132839,2,1122784,2,1132791,217,13,0,2022-07-04T07:43:07,422,7.048453333333333,1656909796.751468,2022-07-04T07:43:16,422325,7.038749999999999,2664.4711829560115
