time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909122,453000,2456069,31.4375,65,12,3,2022-07-04T07:32:02,-243,-4.04245,1656909130.2428038,2022-07-04T07:32:10,-254904,-4.2484,96.37739855380764
1656909152,117000,2486069,31.5,230,12,3,2022-07-04T07:32:32,-213,-3.5480500000000004,1656909162.25844,2022-07-04T07:32:42,-224904,-3.7483999999999997,97.28676587763805
1656909169,302000,2503069,31.5,154,12,3,2022-07-04T07:32:49,-196,-3.2616333333333336,1656909178.810984,2022-07-04T07:32:58,-207904,-3.4650666666666665,97.08152803593454
1656909200,407000,2534069,31.5625,66,12,3,2022-07-04T07:33:20,-165,-2.7432166666666666,1656909209.8316798,2022-07-04T07:33:29,-176904,-2.9484,96.77840779258476
1656909210,851000,2549069,31.5625,48,12,3,2022-07-04T07:33:30,-155,-2.56915,1656909226.7230358,2022-07-04T07:33:46,-161904,-2.6984,96.6055042373122
1656909231,70000,2563069,31.5625,123,12,3,2022-07-04T07:33:51,-134,-2.2321666666666666,1656909239.016077,2022-07-04T07:33:59,-147904,-2.4650666666666665,96.59381866455078
1656909247,752000,2580698,31.625,90,12,3,2022-07-04T07:34:07,-118,-1.9541333333333335,1656909255.2001529,2022-07-04T07:34:15,-130275,-2.17125,97.05039031116675
1656909264,795000,2597069,31.625,55,12,3,2022-07-04T07:34:24,-101,-1.6700833333333334,1656909271.803689,2022-07-04T07:34:31,-113904,-1.8983999999999999,97.89648217694872
1656909292,773000,2625069,31.6875,192,12,3,2022-07-04T07:34:52,-73,-1.2037833333333334,1656909303.394881,2022-07-04T07:35:03,-85904,-1.4317333333333333,97.6801079886093
1656909325,0,2657069,31.75,121,12,3,2022-07-04T07:35:25,-40,-0.6666666666666666,1656909334.236572,2022-07-04T07:35:34,-53904,-0.8984000000000001,98.4486310465312
1656909340,529000,2672069,31.75,255,12,3,2022-07-04T07:35:40,-25,-0.40785,1656909347.258029,2022-07-04T07:35:47,-38904,-0.6484000000000001,98.45005876663232
1656909385,672000,2717069,31.8125,105,12,3,2022-07-04T07:36:25,20,0.34453333333333336,1656909394.80524,2022-07-04T07:36:34,6096,0.1016,209.3617013034174
1656909401,377000,2733069,31.75,171,12,3,2022-07-04T07:36:41,36,0.6062833333333334,1656909411.277693,2022-07-04T07:36:51,22096,0.3682666666666667,305.87770415254306
1656909417,238000,2749069,31.6875,143,12,3,2022-07-04T07:36:57,52,0.8706333333333334,1656909429.329401,2022-07-04T07:37:09,38096,0.6349333333333332,404.90353672975186
1656909434,727000,2766157,31.5625,205,12,3,2022-07-04T07:37:14,69,1.1621166666666667,1656909445.6834688,2022-07-04T07:37:25,55184,0.9197333333333333,511.2566289963088
1656909452,129000,2783069,31.375,198,12,3,2022-07-04T07:37:32,87,1.45215,1656909461.4336889,2022-07-04T07:37:41,72096,1.2016,619.4195752457181
1656909465,952000,2797069,31.3125,5,12,3,2022-07-04T07:37:45,100,1.6825333333333332,1656909474.3840199,2022-07-04T07:37:54,86096,1.4349333333333334,709.853876255604
