time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909117,908000,2452065,31.6875,185,12,0,2022-07-04T07:31:57,-248,-4.1182,1656909127.7897089,2022-07-04T07:32:07,-258908,-4.315133333333334,96.70082329409519
1656909134,466000,2468065,31.6875,175,12,0,2022-07-04T07:32:14,-231,-3.842233333333333,1656909144.7200599,2022-07-04T07:32:24,-242908,-4.048466666666666,96.67948149477166
1656909164,500000,2498065,31.75,245,12,0,2022-07-04T07:32:44,-201,-3.341666666666667,1656909173.177953,2022-07-04T07:32:53,-212908,-3.5484666666666667,96.99272949803857
1656909196,569000,2530089,31.8125,173,12,0,2022-07-04T07:33:16,-169,-2.8071833333333336,1656909204.480504,2022-07-04T07:33:24,-180884,-3.014733333333333,96.59172674130406
1656909208,963000,2543065,31.8125,5,12,0,2022-07-04T07:33:28,-157,-2.600616666666667,1656909219.975853,2022-07-04T07:33:39,-167908,-2.7984666666666667,96.70947389505763
1656909227,671000,2560069,31.8125,67,12,0,2022-07-04T07:33:47,-138,-2.288816666666667,1656909237.5676758,2022-07-04T07:33:57,-150904,-2.515066666666667,96.13249545078163
1656909242,949000,2575065,31.875,49,12,0,2022-07-04T07:34:02,-123,-2.0341833333333335,1656909253.300561,2022-07-04T07:34:13,-135908,-2.265133333333333,97.61248746058378
1656909291,817000,2624069,31.9375,179,12,0,2022-07-04T07:34:51,-74,-1.2197166666666668,1656909301.254653,2022-07-04T07:35:01,-86904,-1.4484,97.18921851736225
1656909337,45000,2669065,32.0,226,12,0,2022-07-04T07:35:37,-28,-0.46591666666666665,1656909345.842756,2022-07-04T07:35:45,-41908,-0.6984666666666667,98.2122143190865
1656909352,407000,2684065,32.0,104,12,0,2022-07-04T07:35:52,-13,-0.20988333333333334,1656909363.0025558,2022-07-04T07:36:03,-26908,-0.4484666666666667,98.2291344550616
1656909366,278000,2698066,32.0625,64,12,0,2022-07-04T07:36:06,1,0.0213,1656909376.7699559,2022-07-04T07:36:16,-12907,-0.21511666666666668,97.60189056396484
