time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909132,857000,2467070,0.66998291015625,8.04800033569336,53,12,1,2022-07-04T07:32:12,-233,-3.86905,1656909144.141764,2022-07-04T07:32:24,-243903,-4.06505,96.76343474536758
1656909163,223000,2497152,0.6309814453125,8.052000045776367,240,12,1,2022-07-04T07:32:43,-202,-3.3629499999999997,1656909172.6279118,2022-07-04T07:32:52,-213821,-3.563683333333333,96.96911522629905
1656909196,572000,2530078,0.64599609375,8.04800033569336,81,12,1,2022-07-04T07:33:16,-169,-2.8071333333333333,1656909204.480504,2022-07-04T07:33:24,-180895,-3.0149166666666667,96.59187266187567
1656909208,522000,2542654,0.629974365234375,8.04800033569336,4,12,1,2022-07-04T07:33:28,-157,-2.607966666666667,1656909219.975853,2022-07-04T07:33:39,-168319,-2.8053166666666667,96.73375918057972
1656909227,514000,2559971,1.3289794921875,8.0,66,12,1,2022-07-04T07:33:47,-138,-2.291433333333333,1656909236.901476,2022-07-04T07:33:56,-151002,-2.5167,96.11836403514513
1656909243,179000,2575312,1.347930908203125,7.984000205993652,117,12,1,2022-07-04T07:34:03,-122,-2.03035,1656909253.300561,2022-07-04T07:34:13,-135661,-2.261016666666667,97.58557046196502
1656909336,796000,2668876,0.686004638671875,7.992000102996826,225,12,1,2022-07-04T07:35:36,-29,-0.4700666666666667,1656909345.2844439,2022-07-04T07:35:45,-42097,-0.7016166666666667,98.20805238734191
1656909351,869000,2683537,1.30096435546875,7.980000019073486,103,12,1,2022-07-04T07:35:51,-14,-0.21885000000000002,1656909363.0025558,2022-07-04T07:36:03,-27436,-0.45726666666666665,98.29991878476123
