time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,871800,2459208,2457386,2345852,1642,789,2,71,239,2457893,141,13,3,2022-07-04T07:31:52,-253,-4.202136666666666,1656909127.1475,2022-07-04T07:32:07,-251765,-4.196083333333333,96.46667816784917
1656909150,974900,2497466,2496166,2345852,1667,814,2,96,246,2494034,108,13,3,2022-07-04T07:32:30,-215,-3.567085,1656909161.359453,2022-07-04T07:32:41,-213507,-3.55845,97.18954728585203
1656909189,528900,2535864,2534996,2529872,1692,838,2,3,253,2532103,76,13,3,2022-07-04T07:33:09,-176,-2.9245183333333333,1656909196.9213479,2022-07-04T07:33:16,-175109,-2.9184833333333335,96.28636505409958
1656909228,765900,2574324,2573070,2573070,1717,852,2,0,258,2558218,64,13,3,2022-07-04T07:33:48,-137,-2.2705683333333337,1656909237.5676758,2022-07-04T07:33:57,-136649,-2.2774833333333335,96.23104632326829
