time_s,time_us,time_steady,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],magn_raw[0],magn_raw[1],magn_raw[2],gyro[0],gyro[1],gyro[2],light_diodes[0],light_diodes[1],light_diodes[2],light_diodes[3],light_diodes[4],light_diodes[5],light_diodes[6],light_diodes[7],light_diodes[8],light_diodes[9],light_dir_real[0],light_dir_real[1],light_dir_real[2],light_dir_measured[0],light_dir_measured[1],light_dir_measured[2],light_dir_error,quaternion[0],quaternion[1],quaternion[2],quaternion[3],flags,last_valid_gps_packet_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909105,995000,2450813,-0.17347964644432068,1.2981061935424805,10.006784439086914,2.0405657291412354,-1.445738434791565,-1.8905149698257446,-443.6002502441406,-343.65869140625,-1094.6815185546875,-0.09468410909175873,-0.05253440886735916,-0.1569923609495163,0.551074206829071,0.7798827886581421,0.5099853277206421,0.13535156846046448,0.10231933742761612,0.08217773586511612,0.06364746391773224,0.072509765625,0.12165527045726776,0.08942870795726776,0.0,0.0,0.0,0.32878023386001587,1.2595030069351196,-0.015074127353727818,0.5718162655830383,0.9268593788146973,0.10426618158817291,0.02769176848232746,-0.3595739006996155,0,0,87,11,0,2022-07-04T07:31:45,-260,-4.31675,1656909114.198005,2022-07-04T07:31:54,-260160,-4.336,96.14695909311652
1656909110,533000,2455351,-0.03349951654672623,1.2490533590316772,9.973284721374512,1.947031855583191,-1.5166069269180298,-1.8943583965301514,-421.3910217285156,-321.449462890625,-1090.005859375,-0.07330382615327835,-0.02687807008624077,-0.1771509200334549,0.568798840045929,0.78955078125,0.4970947206020355,0.136962890625,0.08540038764476776,0.08781738579273224,0.06767578423023224,0.07492675632238388,0.12407226860523224,0.11037597805261612,0.0,0.0,0.0,0.33134427666664124,1.2731654644012451,0.02058377116918564,0.574970006942749,0.9197176694869995,0.10460085421800613,0.0262728463858366,-0.3774755299091339,0,0,214,11,0,2022-07-04T07:31:50,-255,-4.241116666666667,1656909119.9813728,2022-07-04T07:31:59,-255622,-4.260366666666667,96.35794169565503
1656909118,371000,2463189,-0.09212367236614227,1.3280165195465088,9.992426872253418,1.9882261753082275,-1.4351928234100342,-1.8864117860794067,-447.1069641113281,-330.80072021484375,-1092.92822265625,-0.07880161702632904,-0.04092797264456749,-0.16310101747512817,0.5945800542831421,0.806469738483429,0.526904284954071,0.15952149033546448,0.13857421278953552,0.0966796875,0.07009277492761612,0.0765380859375,0.12971191108226776,0.11037597805261612,0.0,0.0,0.0,0.3342988193035126,1.3216010332107544,-0.03349726274609566,0.593346118927002,0.9331626892089844,0.07957350462675095,-0.0029297852888703346,-0.3505237102508545,0,0,184,11,0,2022-07-04T07:31:58,-247,-4.110483333333333,1656909127.7897089,2022-07-04T07:32:07,-247784,-4.129733333333333,96.72234928461421
1656909126,968000,2471786,-2.6045873165130615,3.372683525085449,9.91107177734375,2.610793352127075,-1.7920961380004883,-1.9747366905212402,-333.1385192871094,-485.6808776855469,-1118.0596923828125,-0.3390302062034607,-0.2632829248905182,-0.13011430203914642,0.41975098848342896,0.768603503704071,0.4213623106479645,0.1611328125,0.14260253310203552,0.09104003757238388,0.07412109524011612,0.07170410454273224,0.05720214918255806,0.08298339694738388,1.0,1.0784955024719238,1.581390380859375,0.2873416841030121,1.1450831890106201,-0.11924669146537781,0.5936003923416138,0.9359164237976074,0.1823437660932541,0.08822140097618103,-0.28814613819122314,0,2470968,172,11,0,2022-07-04T07:32:06,-239,-3.9672,1656909135.293505,2022-07-04T07:32:15,-239187,-3.98645,97.07070677318569
1656909129,723000,2474540,-1.4392828941345215,2.029113531112671,9.951749801635742,2.3287484645843506,-1.6430081129074097,-1.9543306827545166,-382.8170471191406,-415.5464782714844,-1120.3974609375,-0.09162978827953339,-0.13866640627384186,-0.21441370248794556,0.47050780057907104,0.770214855670929,0.45439451932907104,0.15468749403953552,0.13051757216453552,0.08620605617761612,0.06687011569738388,0.072509765625,0.1007080078125,0.09748534858226776,1.0,1.0783747434616089,1.5815731287002563,0.3037055730819702,1.1914006471633911,-0.054865021258592606,0.5861745476722717,0.9330443739891052,0.13548734784126282,0.05218905210494995,-0.3291621208190918,0,2473973,250,11,0,2022-07-04T07:32:09,-236,-3.9212833333333332,1656909138.561028,2022-07-04T07:32:18,-236433,-3.94055,96.92695835466999
1656909135,116000,2479934,-1.4751750230789185,1.176072359085083,9.767501831054688,2.334181547164917,-1.400170087814331,-1.8839167356491089,-455.289306640625,-414.9620361328125,-1093.5125732421875,-0.11239920556545258,-0.06475171446800232,-0.13500121235847473,0.46647948026657104,0.774243175983429,0.516430675983429,0.18852539360523224,0.12648925185203552,0.11762695014476776,0.11843261867761612,0.12407226860523224,0.14824219048023224,0.11279296875,1.0,1.0781736373901367,1.5818771123886108,0.30535879731178284,1.0632939338684082,-0.050983596593141556,0.8432047367095947,0.8432355523109436,0.09914720058441162,0.050107069313526154,-0.5259400606155396,0,2478965,148,11,0,2022-07-04T07:32:15,-230,-3.8314,1656909144.7200599,2022-07-04T07:32:24,-231039,-3.85065,96.64556625991315
1656909142,504000,2487322,-1.9812570810317993,1.4572288990020752,9.549755096435547,2.4883172512054443,-1.4489134550094604,-1.9047727584838867,-440.093505859375,-452.95147705078125,-1103.4482421875,-0.09407324343919754,-0.10201449692249298,-0.18020524084568024,0.4415039122104645,0.7589355707168579,0.502734363079071,0.19658203423023224,0.14421387016773224,0.07734374701976776,0.07331542670726776,0.08056640625,0.088623046875,0.0845947265625,1.0,1.0779725313186646,1.5821818113327026,0.3087545931339264,1.1177178621292114,-0.14459392428398132,0.5788682699203491,0.9394246339797974,0.13553299009799957,0.11124762892723083,-0.29451003670692444,0,2483964,102,11,0,2022-07-04T07:32:22,-223,-3.708266666666667,1656909152.038993,2022-07-04T07:32:32,-223651,-3.727516666666667,97.40684383305688
1656909154,271000,2499089,0.14715859293937683,0.259621262550354,9.92303466796875,1.9584101438522339,-1.382131814956665,-1.8474500179290771,-460.54937744140625,-323.20281982421875,-1068.965576171875,-0.07880161702632904,-0.0403171069920063,-0.1569923609495163,0.5696045160293579,0.7831054925918579,0.613110363483429,0.18852539360523224,0.13454589247703552,0.12729492783546448,0.11118163913488388,0.11359862983226776,0.11601562798023224,0.10393066704273224,1.0,1.077651858329773,1.582668423652649,0.3184165954589844,1.2635993957519531,-0.10807666182518005,0.8299499154090881,0.9415387511253357,0.06517762690782547,0.043637506663799286,-0.32764673233032227,0,2491956,183,11,0,2022-07-04T07:32:34,-211,-3.51215,1656909163.187337,2022-07-04T07:32:43,-211884,-3.5313999999999997,97.10499533160373
1656909162,221000,2507038,0.4486542344093323,-0.07896314561367035,10.055837631225586,1.9018973112106323,-1.3512299060821533,-1.8350410461425781,-469.900634765625,-309.1759033203125,-1063.1209716796875,-0.05864306166768074,-0.0073303827084600925,-0.1667662113904953,0.09909667819738388,0.7669922113418579,0.5978027582168579,0.1812744140625,0.13615722954273224,0.12246093899011612,0.0966796875,0.10312499850988388,0.10554198920726776,0.09990234673023224,1.0,1.077651858329773,1.582668423652649,0.3268944323062897,0.6846407651901245,-0.2769549489021301,0.8060294985771179,0.9570419788360596,0.1296103596687317,0.13492995500564575,-0.221507728099823,0,2491956,147,11,0,2022-07-04T07:32:42,-203,-3.37965,1656909171.3535159,2022-07-04T07:32:51,-203935,-3.3989166666666666,96.95058625191926
1656909166,398000,2511216,0.32183465361595154,0.18903297185897827,10.059426307678223,1.8908127546310425,-1.3317590951919556,-1.8442223072052002,-477.49853515625,-306.2536315917969,-1072.47216796875,-0.10690141469240189,-0.036651913076639175,-0.17043140530586243,0.1007080078125,0.774243175983429,0.579272449016571,0.12004394829273224,0.12326660007238388,0.12165527045726776,0.09426269680261612,0.10231933742761612,0.104736328125,0.10393066704273224,1.0,1.0769357681274414,1.5837628841400146,0.31287238001823425,0.7197729349136353,-0.17948676645755768,0.8412017822265625,0.946976900100708,0.13591408729553223,0.13282053172588348,-0.2590767741203308,0,2509126,8,11,0,2022-07-04T07:32:46,-199,-3.3100333333333336,1656909173.177953,2022-07-04T07:32:53,-199757,-3.3292833333333336,97.02782729581585
