time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909129,818446,2476023,34.25,208,10,2,2022-07-04T07:32:09,-236,-3.919692566666667,1656909138.561028,2022-07-04T07:32:18,-234950,-3.915833333333333,96.92197824158337
1656909158,978474,2505212,34.25,194,10,2,2022-07-04T07:32:38,-207,-3.4336921,1656909170.256892,2022-07-04T07:32:50,-205761,-3.42935,96.98423864149329
1656909176,978466,2523204,34.3125,90,10,2,2022-07-04T07:32:56,-189,-3.1336922333333335,1656909186.9224439,2022-07-04T07:33:06,-187769,-3.1294833333333334,97.24066572140003
1656909193,981352,2540177,34.375,232,10,2,2022-07-04T07:33:13,-172,-2.8503108000000004,1656909202.692489,2022-07-04T07:33:22,-170796,-2.8466,96.46586304954157
1656909206,556683,2552195,34.4375,76,10,2,2022-07-04T07:33:26,-159,-2.64072195,1656909214.4723248,2022-07-04T07:33:34,-158778,-2.6462999999999997,96.78149276560421
1656909222,989538,2568245,34.5625,208,10,2,2022-07-04T07:33:42,-143,-2.366841033333333,1656909231.1492648,2022-07-04T07:33:51,-142728,-2.3788,95.91754196291619
1656909240,999334,2586207,34.5625,104,10,2,2022-07-04T07:34:00,-125,-2.0666777666666665,1656909248.0110679,2022-07-04T07:34:08,-124766,-2.0794333333333332,97.68917687082968
1656909255,999299,2601266,34.5625,230,10,2,2022-07-04T07:34:15,-110,-1.81667835,1656909263.786413,2022-07-04T07:34:23,-109707,-1.82845,97.11276514880598
1656909288,19308,2633220,34.75,238,10,2,2022-07-04T07:34:48,-77,-1.2830115333333334,1656909295.596308,2022-07-04T07:34:55,-77753,-1.2958833333333333,97.1818618774414
1656909302,19316,2647214,34.8125,98,10,2,2022-07-04T07:35:02,-63,-1.0496780666666665,1656909311.354369,2022-07-04T07:35:11,-63759,-1.06265,97.45832846777674
1656909332,19291,2677243,34.875,98,10,2,2022-07-04T07:35:32,-33,-0.5496784833333332,1656909342.7928529,2022-07-04T07:35:42,-33730,-0.5621666666666666,98.11904642054648
1656909348,41389,2693294,35.0,234,10,2,2022-07-04T07:35:48,-17,-0.2826435166666667,1656909355.9122329,2022-07-04T07:35:55,-17679,-0.29464999999999997,98.3960144012345
1656909363,49314,2708292,35.125,104,10,2,2022-07-04T07:36:03,-2,-0.03251143333333333,1656909370.86424,2022-07-04T07:36:10,-2681,-0.04468333333333333,97.60189056396484
