time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909183,250800,2529872,50.380001068115234,100024,108.86801147460938,42,13,1,2022-07-04T07:33:03,-182,-3.0291533333333334,1656909193.244452,2022-07-04T07:33:13,-181101,-3.01835,97.0805690990165
1656909207,332900,2558984,50.040000915527344,100028,108.53163146972656,203,13,1,2022-07-04T07:33:27,-158,-2.6277850000000003,1656909221.6018999,2022-07-04T07:33:41,-151989,-2.53315,96.77100845241225
1656909215,10400,2566367,49.029998779296875,100027,108.61573028564453,0,13,1,2022-07-04T07:33:35,-150,-2.4998266666666664,1656909229.9334688,2022-07-04T07:33:49,-144606,-2.4101,96.36999477186117
1656909230,690500,2576046,48.709999084472656,100024,108.86801147460938,78,13,1,2022-07-04T07:33:50,-135,-2.238491666666667,1656909238.7467718,2022-07-04T07:33:58,-134927,-2.2487833333333334,96.40427767698809
1656909236,11500,2581681,48.58000183105469,100022,109.03620147705078,121,13,1,2022-07-04T07:33:56,-129,-2.149808333333333,1656909246.362273,2022-07-04T07:34:06,-129292,-2.1548666666666665,97.02314709410842
