time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909109,85600,2455422,10,75827,127,13,1,2022-07-04T07:31:49,-256,-4.26524,1656909121.10712,2022-07-04T07:32:01,-255551,-4.2591833333333335,96.29064856676251
1656909124,222800,2470559,9,75739,215,13,1,2022-07-04T07:32:04,-241,-4.012953333333333,1656909134.758525,2022-07-04T07:32:14,-240414,-4.0069,96.99441362871619
1656909136,323000,2482659,7,75635,21,13,1,2022-07-04T07:32:16,-229,-3.8112833333333334,1656909145.749117,2022-07-04T07:32:25,-228314,-3.8052333333333332,96.58258827764512
1656909148,84200,2494420,6,75577,92,13,1,2022-07-04T07:32:28,-217,-3.615263333333333,1656909156.367588,2022-07-04T07:32:36,-216553,-3.6092166666666667,97.26369987046583
1656909171,71900,2517684,7,75182,225,13,1,2022-07-04T07:32:51,-194,-3.232135,1656909180.398093,2022-07-04T07:33:00,-193289,-3.221483333333333,97.11650070557938
1656909195,830300,2542580,5,75177,113,13,1,2022-07-04T07:33:15,-170,-2.8194950000000003,1656909204.480504,2022-07-04T07:33:24,-168393,-2.80655,96.55579623255443
1656909199,845200,2545612,5,75053,132,13,1,2022-07-04T07:33:19,-166,-2.75258,1656909214.4723248,2022-07-04T07:33:34,-165361,-2.7560166666666666,96.75108173354111
1656909212,618400,2563953,7,75793,248,13,1,2022-07-04T07:33:32,-153,-2.539693333333333,1656909228.229236,2022-07-04T07:33:48,-147020,-2.4503333333333335,96.50563186937676
1656909230,837300,2576171,7,75330,80,13,1,2022-07-04T07:33:50,-135,-2.236045,1656909239.374552,2022-07-04T07:33:59,-134802,-2.2466999999999997,96.4174910006533
1656909241,590700,2586924,7,75939,157,13,1,2022-07-04T07:34:01,-124,-2.0568216666666665,1656909253.300561,2022-07-04T07:34:13,-124049,-2.0674833333333336,97.7681424829452
1656909277,380100,2622847,10,76043,106,13,1,2022-07-04T07:34:37,-88,-1.4603316666666666,1656909287.612597,2022-07-04T07:34:47,-88126,-1.4687666666666668,97.1818618774414
1656909300,965200,2646562,8,76134,239,13,1,2022-07-04T07:35:00,-65,-1.0672466666666667,1656909311.354369,2022-07-04T07:35:11,-64411,-1.0735166666666667,97.43052369242072
1656909336,94200,2681426,10,75368,177,13,1,2022-07-04T07:35:36,-29,-0.4817633333333333,1656909345.842756,2022-07-04T07:35:45,-29547,-0.49245,98.19632209136462
1656909356,999600,2702331,8,75158,46,13,1,2022-07-04T07:35:56,-9,-0.13334,1656909369.1593928,2022-07-04T07:36:09,-8642,-0.14403333333333332,97.62488889264792
