time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909154,930209,2501005,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,81,10,0,2022-07-04T07:32:34,-211,-3.5011631833333334,1656909164.9018168,2022-07-04T07:32:44,-209968,-3.4994666666666663,97.0880852229274
1656909192,938100,2539013,0,0,672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,195,10,0,2022-07-04T07:33:12,-173,-2.8676983333333337,1656909202.692489,2022-07-04T07:33:22,-171960,-2.866,96.41511907348355
1656909204,496150,2550003,0,0,719,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,228,10,0,2022-07-04T07:33:24,-161,-2.6750641666666666,1656909212.652936,2022-07-04T07:33:32,-160970,-2.6828333333333334,96.80932425256519
1656909226,928786,2572003,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,38,10,0,2022-07-04T07:33:46,-139,-2.3011869,1656909236.901476,2022-07-04T07:33:56,-138970,-2.3161666666666667,96.06568949839163
1656909239,929704,2585004,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,77,10,0,2022-07-04T07:33:59,-126,-2.084504933333333,1656909248.0110679,2022-07-04T07:34:08,-125969,-2.099483333333333,97.5463482542249
1656909344,929185,2690003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,136,10,0,2022-07-04T07:35:44,-21,-0.3345135833333333,1656909354.12286,2022-07-04T07:35:54,-20970,-0.3495,98.3439952019445
1656909356,929179,2702003,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,172,10,0,2022-07-04T07:35:56,-9,-0.13451368333333333,1656909364.351548,2022-07-04T07:36:04,-8970,-0.14950000000000002,97.63415414038357
