time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,590400,2451051,2451051,2451051,65481,0,0,0,0,0,98,13,2,2022-07-04T07:31:44,-261,-4.34016,1656909113.661485,2022-07-04T07:31:53,-259922,-4.332033333333333,96.08978271484375
1656909143,962900,2490298,2490298,2490298,66481,0,0,0,0,0,63,13,2,2022-07-04T07:32:23,-222,-3.6839516666666667,1656909155.7593398,2022-07-04T07:32:35,-220675,-3.677916666666667,97.36941995451775
1656909222,91700,2567470,2567470,2567470,68481,0,0,0,0,0,11,13,2,2022-07-04T07:33:42,-143,-2.381805,1656909229.9334688,2022-07-04T07:33:49,-143503,-2.3917166666666665,95.96845339283225
1656909259,230900,2604564,2604564,2604564,69481,0,0,0,0,0,253,13,2,2022-07-04T07:34:19,-106,-1.7628183333333332,1656909268.517932,2022-07-04T07:34:28,-106409,-1.7734833333333335,97.1818618774414
1656909337,558200,2682890,2682890,2682890,71481,0,0,0,0,0,185,13,2,2022-07-04T07:35:37,-28,-0.45736333333333334,1656909345.2844439,2022-07-04T07:35:45,-28083,-0.46804999999999997,98.22079224427252
