time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,154200,2450615,1684,1684,44129,44129,0,0,15527,15527,15521,15521,0,0,11393,700,26921,15524,1684,0,249,100,0,0,11324,0,0,0,94,13,0,2022-07-04T07:31:44,-261,-4.34743,1656909114.198005,2022-07-04T07:31:54,-260358,-4.3393,96.08978271484375
1656909118,289100,2464625,1691,1691,44313,44313,0,0,15593,15593,15587,15587,0,0,11438,714,27032,15590,1691,0,251,100,0,0,11368,0,0,0,174,13,0,2022-07-04T07:31:58,-247,-4.1118483333333335,1656909127.7897089,2022-07-04T07:32:07,-246348,-4.1058,96.71854155540576
1656909140,685000,2487021,1705,1705,44664,44664,0,0,15716,15716,15710,15710,0,0,11529,724,27246,15713,1705,0,256,103,0,0,11458,0,0,0,51,13,0,2022-07-04T07:32:20,-225,-3.738583333333333,1656909152.038993,2022-07-04T07:32:32,-223952,-3.7325333333333335,97.24442842757634
1656909188,1700,2534337,1738,1738,45430,45430,0,0,15976,15976,15970,15970,0,0,11742,733,27719,15973,1738,0,262,104,0,0,11669,0,0,0,64,13,0,2022-07-04T07:33:08,-177,-2.949971666666667,1656909197.460945,2022-07-04T07:33:17,-176636,-2.9439333333333333,96.53595752460025
1656909196,921300,2543671,1741,1741,45545,45545,0,0,16022,16022,16016,16016,0,0,11762,740,27785,16019,1741,0,264,104,0,0,11688,0,0,0,117,13,0,2022-07-04T07:33:16,-169,-2.8013116666666664,1656909210.784364,2022-07-04T07:33:30,-167302,-2.7883666666666667,96.6088626804302
1656909206,593200,2558092,1749,1749,45729,45729,0,0,16087,16087,16081,16081,0,0,11808,755,27896,16084,1749,0,267,105,0,0,11733,0,0,0,197,13,0,2022-07-04T07:33:26,-159,-2.6401133333333333,1656909221.075893,2022-07-04T07:33:41,-152881,-2.548016666666667,96.78099953282931
1656909225,130500,2570509,1758,1758,45996,45996,0,0,16185,16185,16179,16179,0,0,11870,755,28056,16182,1758,0,267,105,0,0,11795,0,0,0,39,13,0,2022-07-04T07:33:45,-140,-2.331158333333333,1656909235.302712,2022-07-04T07:33:55,-140464,-2.341066666666667,95.90382754361903
1656909238,847500,2584181,1768,1768,46265,46265,0,0,16281,16281,16275,16275,0,0,11937,755,28219,16278,1768,0,268,106,0,0,11862,0,0,0,135,13,0,2022-07-04T07:33:58,-127,-2.1025416666666668,1656909246.362273,2022-07-04T07:34:06,-126792,-2.1132,97.40184062055327
1656909242,351900,2587871,1771,1771,46340,46340,0,0,16307,16307,16301,16301,0,0,11957,755,28265,16304,1771,0,268,106,0,0,11882,0,0,0,161,13,0,2022-07-04T07:34:02,-123,-2.044135,1656909256.101521,2022-07-04T07:34:16,-123102,-2.0517,97.68236632960667
1656909313,66600,2658553,1816,1816,47424,47424,0,0,16680,16680,16674,16674,0,0,12250,781,28931,16677,1816,0,277,107,0,0,12172,0,0,0,48,13,0,2022-07-04T07:35:13,-52,-0.8655566666666666,1656909327.365445,2022-07-04T07:35:27,-52420,-0.8736666666666667,97.74972642579478
1656909340,690000,2686022,1834,1834,47857,47857,0,0,16830,16830,16824,16824,0,0,12365,791,29196,16827,1834,0,280,107,0,0,12286,0,0,0,208,13,0,2022-07-04T07:35:40,-25,-0.4051666666666666,1656909351.84198,2022-07-04T07:35:51,-24951,-0.41585,98.27313898257643
1656909349,704500,2695360,1843,1843,48022,48022,0,0,16883,16883,16877,16877,0,0,12415,791,29299,16880,1843,0,281,107,0,0,12336,0,0,0,5,13,0,2022-07-04T07:35:49,-16,-0.254925,1656909363.0025558,2022-07-04T07:36:03,-15613,-0.26021666666666665,98.42381261193995
