time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,778700,2457115,40.17633697170104,100125.7624725405,33.51940178387339,100.31009674072266,131,13,2,2022-07-04T07:31:50,-255,-4.237021666666667,1656909121.10712,2022-07-04T07:32:01,-253858,-4.230966666666666,96.36936488328034
1656909128,74700,2474735,39.88341722230291,100071.35112419429,33.49048033041524,104.8860092163086,229,13,2,2022-07-04T07:32:08,-237,-3.948755,1656909138.029744,2022-07-04T07:32:18,-236238,-3.9373,97.01296217254274
1656909135,475800,2481812,40.363844445076055,100145.71169286454,33.478638912158246,98.63424682617188,16,13,2,2022-07-04T07:32:15,-230,-3.8254033333333335,1656909145.749117,2022-07-04T07:32:25,-229161,-3.81935,96.62679287298685
1656909175,798400,2522134,39.74797809758313,100034.74418327182,33.486802562506504,107.96465301513672,248,13,2,2022-07-04T07:32:55,-190,-3.15336,1656909186.262384,2022-07-04T07:33:06,-188839,-3.1473166666666668,97.21585893627999
1656909190,605700,2536941,40.47213258514093,100148.10008826789,33.47718741116722,98.43341827392578,83,13,2,2022-07-04T07:33:10,-175,-2.9065716666666663,1656909202.692489,2022-07-04T07:33:22,-174032,-2.9005333333333336,96.30167069307524
1656909201,570700,2547337,39.732325947759456,100022.5037334556,33.48154703772283,108.99415588378906,136,13,2,2022-07-04T07:33:21,-164,-2.723821666666667,1656909210.15318,2022-07-04T07:33:30,-163636,-2.7272666666666665,96.83501038231256
1656909205,167200,2550934,40.49513185294927,100146.64977398688,33.48234811004517,98.55548858642578,154,13,2,2022-07-04T07:33:25,-160,-2.66388,1656909218.677064,2022-07-04T07:33:38,-160039,-2.6673166666666663,96.80026042329132
1656909210,863200,2562198,40.52356151157967,100147.79138678912,33.46555763566426,98.45967102050781,232,13,2,2022-07-04T07:33:30,-155,-2.5689466666666667,1656909227.072028,2022-07-04T07:33:47,-148775,-2.4795833333333333,96.60483239948144
1656909233,810300,2579458,40.56029647707801,100135.5601514342,33.470534057923736,99.48677825927734,106,13,2,2022-07-04T07:33:53,-132,-2.186495,1656909243.5952408,2022-07-04T07:34:03,-131515,-2.1919166666666663,96.72921895926696
1656909242,926900,2588446,40.06357712948177,100056.3030702809,33.460776888541,106.1513671875,163,13,2,2022-07-04T07:34:02,-123,-2.0345516666666668,1656909252.0898728,2022-07-04T07:34:12,-122527,-2.042116666666667,97.61507383305975
1656909251,70700,2596404,40.600864673837734,100136.9688064909,33.48640050384846,99.36864471435547,206,13,2,2022-07-04T07:34:11,-114,-1.8988216666666666,1656909259.706276,2022-07-04T07:34:19,-114569,-1.9094833333333334,96.91034606580742
1656909280,924100,2626257,40.66698767951029,100134.35723443828,33.45268133780542,99.58784484863281,120,13,2,2022-07-04T07:34:40,-85,-1.401265,1656909288.142793,2022-07-04T07:34:48,-84716,-1.4119333333333333,97.1818618774414
1656909287,449100,2632782,39.98851045754209,100020.36623268935,33.445382114853956,109.17350769042969,155,13,2,2022-07-04T07:34:47,-78,-1.292515,1656909296.644237,2022-07-04T07:34:56,-78191,-1.3031833333333334,97.1818618774414
1656909302,273400,2647980,40.05303584835637,100024.61223286556,33.44998786499263,108.81676483154297,243,13,2,2022-07-04T07:35:02,-63,-1.0454433333333333,1656909312.00992,2022-07-04T07:35:12,-62993,-1.0498833333333333,97.46503052764639
1656909315,827600,2661160,40.73662452075841,100136.50991109917,33.42984591275171,99.40736389160156,67,13,2,2022-07-04T07:35:15,-50,-0.81954,1656909327.365445,2022-07-04T07:35:27,-49813,-0.8302166666666667,97.80822144918749
1656909335,223000,2680555,40.77463731469436,100132.12550506278,33.43480080836784,99.77554321289062,173,13,2,2022-07-04T07:35:35,-30,-0.49628333333333335,1656909344.0121489,2022-07-04T07:35:44,-30418,-0.5069666666666667,98.18054665286733
1656909341,78000,2686410,40.78997021092257,100130.9612147261,33.440066917841776,99.87333679199219,210,13,2,2022-07-04T07:35:41,-24,-0.3987,1656909351.84198,2022-07-04T07:35:51,-24563,-0.4093833333333333,98.27962424168044
1656909365,362400,2710694,40.82926076946323,100124.85765217208,33.412163249143106,100.38630676269531,87,13,2,2022-07-04T07:36:05,0,0.00604,1656909372.621852,2022-07-04T07:36:12,-279,-0.0046500000000000005,97.60189056396484
