time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909146,978496,2493194,34.75,95,10,3,2022-07-04T07:32:26,-219,-3.6336917333333334,1656909155.177269,2022-07-04T07:32:35,-217779,-3.62965,97.29206352266696
1656909161,988503,2508287,34.75,221,10,3,2022-07-04T07:32:41,-204,-3.38352495,1656909171.3535159,2022-07-04T07:32:51,-202686,-3.3781000000000003,96.94628691962747
1656909193,981352,2540194,34.875,233,10,3,2022-07-04T07:33:13,-172,-2.8503108000000004,1656909202.692489,2022-07-04T07:33:22,-170779,-2.8463166666666666,96.46586304954157
1656909206,556683,2552204,34.8125,77,10,3,2022-07-04T07:33:26,-159,-2.64072195,1656909214.4723248,2022-07-04T07:33:34,-158769,-2.64615,96.78149276560421
1656909240,999334,2586222,34.8125,105,10,3,2022-07-04T07:34:00,-125,-2.0666777666666665,1656909251.556485,2022-07-04T07:34:11,-124751,-2.0791833333333334,97.68917687082968
1656909289,19330,2634247,34.875,249,10,3,2022-07-04T07:34:49,-76,-1.2663445,1656909296.1223688,2022-07-04T07:34:56,-76726,-1.2787666666666666,97.1818618774414
1656909302,19316,2647224,34.8125,99,10,3,2022-07-04T07:35:02,-63,-1.0496780666666665,1656909311.354369,2022-07-04T07:35:11,-63749,-1.0624833333333334,97.45832846777674
1656909363,49314,2708297,34.5,105,10,3,2022-07-04T07:36:03,-2,-0.03251143333333333,1656909370.86424,2022-07-04T07:36:10,-2676,-0.0446,97.60189056396484
