time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908458,792497,1802,-28,12,-29,2022-07-04T07:20:58,1656908458.795929,2022-07-04T07:20:58
1656908459,372163,1803,-32,12,-32,2022-07-04T07:20:59,1656908459.375207,2022-07-04T07:20:59
1656908459,962642,1804,-40,12,-40,2022-07-04T07:20:59,1656908459.972897,2022-07-04T07:20:59
1656908460,512589,1805,-42,12,-43,2022-07-04T07:21:00,1656908460.515679,2022-07-04T07:21:00
1656908461,72594,1806,-35,12,-36,2022-07-04T07:21:01,1656908461.076013,2022-07-04T07:21:01
1656908464,653149,1807,-32,12,-33,2022-07-04T07:21:04,1656908464.657262,2022-07-04T07:21:04
1656908465,182450,1808,-34,12,-34,2022-07-04T07:21:05,1656908465.186294,2022-07-04T07:21:05
1656908465,742157,1809,-29,12,-30,2022-07-04T07:21:05,1656908465.747871,2022-07-04T07:21:05
1656908466,293454,1810,-33,11,-34,2022-07-04T07:21:06,1656908466.297436,2022-07-04T07:21:06
1656908466,873589,1811,-36,11,-36,2022-07-04T07:21:06,1656908466.876425,2022-07-04T07:21:06
1656908467,462104,1812,-35,11,-36,2022-07-04T07:21:07,1656908467.466011,2022-07-04T07:21:07
1656908468,152632,1813,-41,11,-42,2022-07-04T07:21:08,1656908468.158491,2022-07-04T07:21:08
1656908468,692856,1814,-31,12,-32,2022-07-04T07:21:08,1656908468.696709,2022-07-04T07:21:08
1656908469,243350,1815,-28,12,-29,2022-07-04T07:21:09,1656908469.248953,2022-07-04T07:21:09
1656908472,821871,1816,-35,11,-35,2022-07-04T07:21:12,1656908472.825834,2022-07-04T07:21:12
1656908473,374107,1817,-34,12,-34,2022-07-04T07:21:13,1656908473.377745,2022-07-04T07:21:13
1656908474,3032,1818,-30,12,-30,2022-07-04T07:21:14,1656908474.00631,2022-07-04T07:21:14
1656908474,573876,1819,-31,13,-31,2022-07-04T07:21:14,1656908474.577942,2022-07-04T07:21:14
1656908475,112484,1820,-31,12,-31,2022-07-04T07:21:15,1656908475.115262,2022-07-04T07:21:15
1656908475,683566,1821,-31,12,-31,2022-07-04T07:21:15,1656908475.687328,2022-07-04T07:21:15
1656908476,213339,1822,-33,12,-34,2022-07-04T07:21:16,1656908476.219405,2022-07-04T07:21:16
1656908476,792346,1823,-34,11,-35,2022-07-04T07:21:16,1656908476.795623,2022-07-04T07:21:16
1656908477,352922,1824,-49,11,-49,2022-07-04T07:21:17,1656908477.35643,2022-07-04T07:21:17
1656908481,4159,1825,-40,12,-40,2022-07-04T07:21:21,1656908481.011046,2022-07-04T07:21:21
1656908481,541971,1826,-39,12,-39,2022-07-04T07:21:21,1656908481.547701,2022-07-04T07:21:21
1656908482,103018,1827,-34,12,-35,2022-07-04T07:21:22,1656908482.106046,2022-07-04T07:21:22
1656908482,652118,1828,-32,11,-32,2022-07-04T07:21:22,1656908482.655448,2022-07-04T07:21:22
1656908483,303332,1829,-34,11,-34,2022-07-04T07:21:23,1656908483.308395,2022-07-04T07:21:23
1656908483,992875,1830,-30,11,-30,2022-07-04T07:21:23,1656908483.9963,2022-07-04T07:21:23
1656908484,563274,1831,-31,12,-32,2022-07-04T07:21:24,1656908484.570068,2022-07-04T07:21:24
1656908485,182010,1832,-32,12,-33,2022-07-04T07:21:25,1656908485.190035,2022-07-04T07:21:25
1656908485,733124,1833,-31,11,-32,2022-07-04T07:21:25,1656908485.735932,2022-07-04T07:21:25
1656908489,352376,1834,-30,11,-31,2022-07-04T07:21:29,1656908489.355353,2022-07-04T07:21:29
1656908489,882983,1835,-30,12,-31,2022-07-04T07:21:29,1656908489.886076,2022-07-04T07:21:29
1656908490,432485,1836,-32,11,-33,2022-07-04T07:21:30,1656908490.435506,2022-07-04T07:21:30
1656908491,41997,1837,-30,12,-31,2022-07-04T07:21:31,1656908491.045847,2022-07-04T07:21:31
1656908491,678471,1838,-30,12,-30,2022-07-04T07:21:31,1656908491.682398,2022-07-04T07:21:31
1656908492,222747,1839,-26,11,-27,2022-07-04T07:21:32,1656908492.225672,2022-07-04T07:21:32
1656908492,792146,1840,-27,11,-27,2022-07-04T07:21:32,1656908492.796262,2022-07-04T07:21:32
1656908493,475969,1841,-28,12,-28,2022-07-04T07:21:33,1656908493.478987,2022-07-04T07:21:33
1656908494,92677,1842,-25,12,-25,2022-07-04T07:21:34,1656908494.096317,2022-07-04T07:21:34
1656908497,662641,1843,-22,12,-22,2022-07-04T07:21:37,1656908497.666927,2022-07-04T07:21:37
1656908498,232478,1844,-21,12,-22,2022-07-04T07:21:38,1656908498.235866,2022-07-04T07:21:38
1656908498,842200,1845,-21,11,-21,2022-07-04T07:21:38,1656908498.846584,2022-07-04T07:21:38
1656908499,436753,1846,-20,12,-20,2022-07-04T07:21:39,1656908499.439351,2022-07-04T07:21:39
1656908500,61817,1847,-22,12,-23,2022-07-04T07:21:40,1656908500.204388,2022-07-04T07:21:40
1656908500,663060,1848,-22,13,-23,2022-07-04T07:21:40,1656908500.667457,2022-07-04T07:21:40
1656908501,232473,1849,-24,11,-24,2022-07-04T07:21:41,1656908501.235667,2022-07-04T07:21:41
1656908501,813553,1850,-25,12,-25,2022-07-04T07:21:41,1656908501.816611,2022-07-04T07:21:41
1656908502,462005,1851,-25,12,-26,2022-07-04T07:21:42,1656908502.467721,2022-07-04T07:21:42
1656908506,112157,1852,-25,12,-26,2022-07-04T07:21:46,1656908506.117311,2022-07-04T07:21:46
