time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908466,6867887,79,37,1983,00000000000000000000000000,2500c890e0,68a9,2022-07-04T07:21:12,1656908466.689718,2022-07-04T07:21:06
1656908467,2338752,80,36,1984,00000000000000000000000000,2400c890e0,91c8,2022-07-04T07:21:09,1656908467.235905,2022-07-04T07:21:07
1656908467,7680380,81,38,1985,00000000000000000000000000,2600c890e0,d8da,2022-07-04T07:21:14,1656908467.770046,2022-07-04T07:21:07
1656908468,5217387,82,28,1986,00000000000000000000000000,1c00c890e0,e0a3,2022-07-04T07:21:13,1656908468.523653,2022-07-04T07:21:08
1656908469,575389,83,28,1987,00000000000000000000000000,1c00c890e0,cb1d,2022-07-04T07:21:09,1656908469.059451,2022-07-04T07:21:09
1656908469,5953967,84,37,1988,00000000000000000000000000,2500c890e0,1379,2022-07-04T07:21:14,1656908469.597294,2022-07-04T07:21:09
1656908473,1361620,85,31,1989,00000000000000000000000000,1f00c890e0,2b46,2022-07-04T07:21:14,1656908473.13814,2022-07-04T07:21:13
1656908473,7659909,86,38,1990,00000000000000000000000000,2600c890e0,2802,2022-07-04T07:21:20,1656908473.768237,2022-07-04T07:21:13
1656908474,3448948,87,38,1991,00000000000000000000000000,2600c890e0,9244,2022-07-04T07:21:17,1656908474.34699,2022-07-04T07:21:14
1656908474,9435622,88,38,1992,00000000000000000000000000,2600c890e0,63cd,2022-07-04T07:21:23,1656908474.94565,2022-07-04T07:21:14
1656908475,4910795,89,34,1993,00000000000000000000000000,2200c890e0,ddd4,2022-07-04T07:21:19,1656908475.493173,2022-07-04T07:21:15
1656908476,196228,90,37,1994,00000000000000000000000000,2500c890e0,0d9f,2022-07-04T07:21:16,1656908476.021917,2022-07-04T07:21:16
1656908476,5936450,91,36,1995,00000000000000000000000000,2400c890e0,84c3,2022-07-04T07:21:21,1656908476.595815,2022-07-04T07:21:16
1656908477,1815311,92,31,1996,00000000000000000000000000,1f00c890e0,e0aa,2022-07-04T07:21:18,1656908477.183697,2022-07-04T07:21:17
1656908481,9118258,93,37,1999,00000000000000000000000000,2500c890e0,9f98,2022-07-04T07:21:30,1656908481.914444,2022-07-04T07:21:21
1656908482,4520514,94,28,2000,00000000000000000000000000,1c00c890e0,1e94,2022-07-04T07:21:26,1656908482.454376,2022-07-04T07:21:22
1656908483,7294418,95,38,2002,00000000000000000000000000,2600c890e0,db12,2022-07-04T07:21:30,1656908483.731409,2022-07-04T07:21:23
1656908484,3742048,96,37,2003,00000000000000000000000000,2500c890e0,4c85,2022-07-04T07:21:27,1656908484.376269,2022-07-04T07:21:24
1656908484,9570832,97,32,2004,00000000000000000000000000,2000c890e0,4741,2022-07-04T07:21:33,1656908484.958919,2022-07-04T07:21:24
1656908485,5639424,98,37,2005,00000000000000000000000000,2500c890e0,11ce,2022-07-04T07:21:30,1656908485.566223,2022-07-04T07:21:25
1656908486,1127490,99,37,2006,00000000000000000000000000,2500c890e0,0e01,2022-07-04T07:21:27,1656908486.114768,2022-07-04T07:21:26
1656908489,6907286,100,37,2007,00000000000000000000000000,2500c890e0,349b,2022-07-04T07:21:35,1656908489.692671,2022-07-04T07:21:29
1656908490,2148394,101,38,2008,00000000000000000000000000,2600c890e0,6cbd,2022-07-04T07:21:32,1656908490.216998,2022-07-04T07:21:30
1656908490,8167080,102,37,2009,00000000000000000000000000,2500c890e0,f94e,2022-07-04T07:21:38,1656908490.818946,2022-07-04T07:21:30
1656908491,4307532,103,38,2010,00000000000000000000000000,2600c890e0,bf31,2022-07-04T07:21:35,1656908491.432827,2022-07-04T07:21:31
1656908492,1106030,104,37,2011,00000000000000000000000000,2500c890e0,8cea,2022-07-04T07:21:33,1656908492.112576,2022-07-04T07:21:32
1656908492,6525235,105,37,2012,00000000000000000000000000,2500c890e0,cb07,2022-07-04T07:21:38,1656908492.65443,2022-07-04T07:21:32
1656908493,2028141,106,37,2013,00000000000000000000000000,2500c890e0,64c9,2022-07-04T07:21:35,1656908493.204817,2022-07-04T07:21:33
1656908493,8550078,107,37,2014,00000000000000000000000000,2500c890e0,2f1d,2022-07-04T07:21:41,1656908493.857275,2022-07-04T07:21:33
1656908494,4741613,108,37,2015,00000000000000000000000000,2500c890e0,6be1,2022-07-04T07:21:38,1656908494.476184,2022-07-04T07:21:34
1656908498,373396,109,37,2016,00000000000000000000000000,2500c890e0,e8be,2022-07-04T07:21:38,1656908498.039381,2022-07-04T07:21:38
1656908498,5588772,110,38,2017,00000000000000000000000000,2600c890e0,a82a,2022-07-04T07:21:43,1656908498.56108,2022-07-04T07:21:38
1656908499,1973946,111,37,2018,00000000000000000000000000,2500c890e0,68dc,2022-07-04T07:21:40,1656908499.199494,2022-07-04T07:21:39
1656908499,7904984,112,38,2019,00000000000000000000000000,2600c890e0,28f3,2022-07-04T07:21:46,1656908499.792809,2022-07-04T07:21:39
1656908500,4459185,113,38,2020,00000000000000000000000000,2600c890e0,d918,2022-07-04T07:21:44,1656908500.448098,2022-07-04T07:21:40
1656908501,527329,114,31,2021,00000000000000000000000000,1f00c890e0,a7bc,2022-07-04T07:21:41,1656908501.054848,2022-07-04T07:21:41
1656908501,5941309,115,38,2022,00000000000000000000000000,2600c890e0,dbdb,2022-07-04T07:21:46,1656908501.59617,2022-07-04T07:21:41
1656908502,2020990,116,32,2023,00000000000000000000000000,2000c890e0,5e5c,2022-07-04T07:21:44,1656908502.204293,2022-07-04T07:21:42
1656908502,7839007,117,38,2024,00000000000000000000000000,2600c890e0,ffc5,2022-07-04T07:21:49,1656908502.785985,2022-07-04T07:21:42
1656908506,5018458,118,37,2025,00000000000000000000000000,2500c890e0,5b73,2022-07-04T07:21:51,1656908506.503953,2022-07-04T07:21:46
