time_s,time_us,time_steady,seconds_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
315964804,830600,7373,7.373,11.4399995803833,140006,-1000,75,13,2,1980-01-06T03:00:04
315964805,830600,8373,8.373,11.4499998092651,138938,-1000,87,13,2,1980-01-06T03:00:05
315964806,830600,9373,9.373,11.460000038147,137890,-1000,100,13,2,1980-01-06T03:00:06
315964807,830600,10373,10.373,11.4700002670288,136866,-1000,111,13,2,1980-01-06T03:00:07
315964808,830600,11373,11.373,11.4700002670288,135864,-1000,122,13,2,1980-01-06T03:00:08
315964809,830600,12373,12.373,11.4799995422363,134882,-1000,135,13,2,1980-01-06T03:00:09
315964810,830700,13373,13.373,11.4899997711182,133917,-1000,147,13,2,1980-01-06T03:00:10
315964811,830700,14373,14.373,11.5,132974,-1000,158,13,2,1980-01-06T03:00:11
315964812,830600,15373,15.373,11.5100002288818,132046,-1000,171,13,2,1980-01-06T03:00:12
315964813,830600,16373,16.373,11.5299997329712,131140,-1000,182,13,2,1980-01-06T03:00:13
315964814,830600,17373,17.373,11.5299997329712,130245,-1000,193,13,2,1980-01-06T03:00:14
315964815,830600,18373,18.373,11.539999961853,129368,-1000,207,13,2,1980-01-06T03:00:15
315964816,830600,19373,19.373,11.5500001907349,128507,-1000,218,13,2,1980-01-06T03:00:16
315964817,830600,20373,20.373,11.5600004196167,127657,-1000,229,13,2,1980-01-06T03:00:17
315964818,830600,21373,21.373,11.5699996948242,126820,-1000,242,13,2,1980-01-06T03:00:18
315964819,830600,22373,22.373,11.5799999237061,125997,-1000,253,13,2,1980-01-06T03:00:19
315964820,830600,23373,23.373,11.5900001525879,125192,-1000,9,13,2,1980-01-06T03:00:20
315964821,830700,24373,24.373,11.6000003814697,124396,-1000,22,13,2,1980-01-06T03:00:21
315964822,830700,25373,25.373,11.6099996566772,123608,-1000,33,13,2,1980-01-06T03:00:22
315964823,830600,26373,26.373,11.6199998855591,122834,-1000,44,13,2,1980-01-06T03:00:23
315964824,830600,27373,27.373,11.6300001144409,122071,-1000,57,13,2,1980-01-06T03:00:24
315964825,830600,28373,28.373,11.6400003433228,121316,-1000,69,13,2,1980-01-06T03:00:25
315964826,830600,29373,29.373,11.6499996185303,120577,-1000,80,13,2,1980-01-06T03:00:26
315964827,830600,30373,30.373,11.6599998474121,119845,-1000,93,13,2,1980-01-06T03:00:27
315964828,830600,31373,31.373,11.6700000762939,119123,-1000,104,13,2,1980-01-06T03:00:28
315964829,830600,32373,32.373,11.6800003051758,118409,-1000,115,13,2,1980-01-06T03:00:29
315964830,830600,33373,33.373,11.6899995803833,117708,-1000,129,13,2,1980-01-06T03:00:30
315964831,830600,34373,34.373,11.6999998092651,117015,-1000,140,13,2,1980-01-06T03:00:31
315964832,830700,35373,35.373,11.710000038147,116333,-1000,151,13,2,1980-01-06T03:00:32
315964833,830600,36373,36.373,11.7200002670288,115662,-1000,164,13,2,1980-01-06T03:00:33
315964834,830600,37373,37.373,11.7299995422363,114997,-1000,175,13,2,1980-01-06T03:00:34
315964835,830600,38373,38.373,11.7399997711182,114345,-1000,187,13,2,1980-01-06T03:00:35
315964836,830600,39373,39.373,11.75,113699,-982.416809082031,200,13,2,1980-01-06T03:00:36
315964837,830600,40373,40.373,11.7600002288818,113070,-934.628173828125,211,13,2,1980-01-06T03:00:37
315964838,830600,41373,41.373,11.7700004577637,112442,-886.700317382813,222,13,2,1980-01-06T03:00:38
315964839,830600,42373,42.373,11.7799997329712,111825,-839.400695800781,235,13,2,1980-01-06T03:00:39
315964840,830600,43373,43.373,11.789999961853,111224,-793.121337890625,247,13,2,1980-01-06T03:00:40
315964841,830700,44373,44.373,11.8000001907349,110632,-747.3369140625,2,13,2,1980-01-06T03:00:41
315964842,830700,45373,45.373,11.8100004196167,110048,-701.975952148438,15,13,2,1980-01-06T03:00:42
315964843,830600,46373,46.373,11.8199996948242,109474,-657.200561523438,26,13,2,1980-01-06T03:00:43
315964844,830600,47373,47.373,11.8299999237061,108910,-613.018737792969,37,13,2,1980-01-06T03:00:44
315964845,830600,48373,48.373,11.8400001525879,108355,-569.361083984375,51,13,2,1980-01-06T03:00:45
315964846,830600,49373,49.373,11.8500003814697,107807,-526.07421875,62,13,2,1980-01-06T03:00:46
315964847,830600,50373,50.373,11.8500003814697,107271,-483.562194824219,73,13,2,1980-01-06T03:00:47
315964848,830600,51373,51.373,11.8599996566772,106750,-442.075164794922,86,13,2,1980-01-06T03:00:48
315964849,830600,52373,52.373,11.8699998855591,106243,-401.543853759766,97,13,2,1980-01-06T03:00:49
315964850,830600,53373,53.373,11.8800001144409,105747,-361.740020751953,109,13,2,1980-01-06T03:00:50
315964851,830600,54373,54.373,11.8900003433228,105279,-324.043121337891,122,13,2,1980-01-06T03:00:51
315964852,830700,55373,55.373,11.8999996185303,104835,-288.154144287109,133,13,2,1980-01-06T03:00:52
315964853,830700,56373,56.373,11.9099998474121,104416,-254.171844482422,144,13,2,1980-01-06T03:00:53
315964854,830600,57373,57.373,11.9200000762939,104038,-223.420104980469,157,13,2,1980-01-06T03:00:54
315964855,830600,58373,58.373,11.9300003051758,103703,-196.090118408203,169,13,2,1980-01-06T03:00:55
315964856,830600,59373,59.373,11.9399995803833,103421,-173.028717041016,180,13,2,1980-01-06T03:00:56
315964857,830600,60373,60.373,11.9499998092651,103195,-154.509872436523,193,13,2,1980-01-06T03:00:57
315964858,830600,61373,61.373,11.960000038147,103032,-141.133270263672,204,13,2,1980-01-06T03:00:58
315964859,830600,62373,62.373,11.9700002670288,102924,-132.260238647461,215,13,2,1980-01-06T03:00:59
315964860,830600,63373,63.373,11.9700002670288,102853,-126.422927856445,229,13,2,1980-01-06T03:01:00
315964861,830600,64373,64.373,11.9799995422363,102815,-123.297561645508,240,13,2,1980-01-06T03:01:01
