time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909137,966800,2484302,0,2,1122784,2,1132839,2,1122784,2,1132791,32,13,0,2022-07-04T07:32:17,-228,-3.7838866666666666,-226671,-3.77785,96.3982514444987,100172.328
1656909139,91800,2485427,0,2,1122784,2,1132839,2,1122784,2,1132791,40,13,0,2022-07-04T07:32:19,-226,-3.7651366666666664,-225546,-3.7590999999999997,96.00577545166016,100177.0
1656909140,182800,2486519,0,2,1122784,2,1132839,2,1122784,2,1132791,49,13,0,2022-07-04T07:32:20,-225,-3.7469533333333334,-224454,-3.7409000000000003,96.24027627327611,100174.20852017937
1656909141,699000,2488408,0,2,1122784,2,1132839,2,1122784,2,1132791,58,13,0,2022-07-04T07:32:21,-224,-3.721683333333333,-222565,-3.709416666666667,97.41054104576779,100160.27778191291
1656909144,533200,2490868,0,2,1122784,2,1132839,2,1122784,2,1132791,67,13,0,2022-07-04T07:32:24,-221,-3.674446666666667,-220105,-3.6684166666666664,97.02749297458446,100164.83758700696
1656909146,110200,2492446,0,2,1122784,2,1132839,2,1122784,2,1132791,76,13,0,2022-07-04T07:32:26,-219,-3.6481633333333336,-218527,-3.6421166666666664,96.49206188203523,100171.21128553245
1656909148,467200,2494802,0,2,1122784,2,1132839,2,1122784,2,1132791,93,13,0,2022-07-04T07:32:28,-217,-3.60888,-216171,-3.6028499999999997,96.52903825608665,100170.77109974425
1656909150,31200,2496367,0,2,1122784,2,1132839,2,1122784,2,1132791,102,13,0,2022-07-04T07:32:30,-215,-3.582813333333333,-214606,-3.5767666666666664,97.34962582771259,100161.0029250457
1656909151,823100,2498158,0,2,1122784,2,1132839,2,1122784,2,1132791,112,13,0,2022-07-04T07:32:31,-214,-3.552948333333333,-212815,-3.5469166666666667,96.77611827808084,100167.82992950655
1656909154,149100,2500484,0,2,1122784,2,1132839,2,1122784,2,1132791,120,13,0,2022-07-04T07:32:34,-211,-3.5141816666666665,-210489,-3.50815,96.85046276845138,100166.9449554787
1656909155,240100,2501576,0,2,1122784,2,1132839,2,1122784,2,1132791,129,13,0,2022-07-04T07:32:35,-210,-3.495998333333333,-209397,-3.48995,96.1546169179607,100175.22823098075
1656909156,331100,2502666,0,2,1122784,2,1132839,2,1122784,2,1132791,138,13,0,2022-07-04T07:32:36,-209,-3.477815,-208307,-3.471783333333333,96.1089557749104,100175.77176901925
