time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909181,807000,2528142,41.30645792692815,100130.45700736577,24.331546870212932,99.9159927368164,27,13,1,2022-07-04T07:33:01,-184,-3.0532166666666667,-182831,-3.0471833333333334,96.05287615315298
1656909183,135000,2529470,40.409024692244046,99997.57267643933,24.378026546167895,111.0915298461914,39,13,1,2022-07-04T07:33:03,-182,-3.0310833333333336,-181503,-3.02505,96.62634972105634
1656909207,111100,2558740,41.43625011973236,100128.91682325107,24.06383013580962,100.04533386230469,200,13,1,2022-07-04T07:33:27,-158,-2.6314816666666667,-152233,-2.5372166666666667,96.41063408031066
1656909208,469600,2559804,41.421652455304226,100125.50005488406,24.052028943905675,100.33243560791016,210,13,1,2022-07-04T07:33:28,-157,-2.60884,-151169,-2.5194833333333335,96.11849886169895
1656909209,533600,2560868,41.417527028836616,100126.19691892274,24.039746261764822,100.27396392822266,221,13,1,2022-07-04T07:33:29,-156,-2.5911066666666667,-150105,-2.50175,96.11075294896176
1656909210,863600,2562198,41.42609522248422,100127.94177538545,24.026883002113884,100.12680053710938,233,13,1,2022-07-04T07:33:30,-155,-2.56894,-148775,-2.4795833333333333,96.53078278046802
1656909212,668600,2564003,41.467984181136124,100127.62342835189,24.000018447813233,100.15373229980469,243,13,1,2022-07-04T07:33:32,-153,-2.5388566666666668,-146970,-2.4495,96.59381866455078
1656909214,530600,2565865,41.47337897270538,100129.50946898463,23.937417469664858,99.99540710449219,253,13,1,2022-07-04T07:33:34,-151,-2.5078233333333335,-145108,-2.4184666666666668,96.98905893001916
1656909222,68900,2567447,41.463224071200806,100126.997017906,23.875525101961966,100.20629119873047,9,13,1,2022-07-04T07:33:42,-143,-2.3821849999999998,-143526,-2.3921,96.1174204703103
1656909223,132900,2568511,41.440058206500545,100128.01720505448,23.851644474656226,100.12088775634766,20,13,1,2022-07-04T07:33:43,-142,-2.3644516666666666,-142462,-2.3743666666666665,96.08978271484375
1656909224,196900,2569575,41.41244958114023,100124.1720149845,23.84668844673977,100.44412231445312,30,13,1,2022-07-04T07:33:44,-141,-2.3467183333333335,-141398,-2.3566333333333334,95.88503869709216
1656909225,553900,2570932,41.427999265629566,100126.5524498776,23.85220308273853,100.24374389648438,42,13,1,2022-07-04T07:33:45,-140,-2.3241016666666665,-140041,-2.3340166666666664,96.81895361493008
1656909227,7100,2572565,41.445770336959775,100125.69629859705,23.8825619079672,100.31600952148438,52,13,1,2022-07-04T07:33:47,-138,-2.2998816666666664,-138408,-2.3068,96.99214586738249
1656909228,743100,2574301,41.43847150366057,100124.82613607777,23.907846189313517,100.3889389038086,62,13,1,2022-07-04T07:33:48,-137,-2.2709483333333336,-136672,-2.2778666666666667,97.07909879045567
1656909230,468700,2575802,41.43942352536114,100122.5940118424,23.94521457749318,100.57683563232422,75,13,1,2022-07-04T07:33:50,-135,-2.242188333333333,-135171,-2.25285,96.58511835972273
1656909231,532700,2576866,41.42514320092689,100119.5828175594,23.95210470716513,100.82977294921875,85,13,1,2022-07-04T07:33:51,-134,-2.224455,-134107,-2.235116666666667,96.71455541911878
1656909232,596700,2577930,41.41118021926161,100118.68527652592,23.958976427921286,100.90532684326172,95,13,1,2022-07-04T07:33:52,-133,-2.2067216666666667,-133043,-2.2173833333333333,96.62533717908357
1656909233,810700,2579458,39.602358023612965,99847.17823808687,24.02266160424637,123.75328826904297,107,13,1,2022-07-04T07:33:53,-132,-2.1864883333333336,-131515,-2.1919166666666663,97.46159279817476
1656909235,577700,2581225,31.974612094269855,98602.8662811583,24.3732728445374,229.11012268066406,117,13,1,2022-07-04T07:33:55,-130,-2.1570383333333334,-129748,-2.1624666666666665,97.66219813856968
