time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909120,843800,2467180,2467180,2467180,16314,714,-11,0,152,2463067,186,13,4,2022-07-04T07:32:00,-245,-4.06927,-243793,-4.0632166666666665,96.08876665803785
1656909159,63300,2505399,2505399,2505399,16535,733,-11,0,157,2499377,151,13,4,2022-07-04T07:32:39,-206,-3.4322783333333335,-205574,-3.4262333333333337,96.94273740976254
1656909197,357500,2544107,2544107,2544107,16761,740,-11,0,161,2542840,121,13,4,2022-07-04T07:33:17,-168,-2.7940416666666668,-166866,-2.7811000000000003,96.23613135140175
1656909235,600500,2581248,2581248,2581248,17015,755,-11,0,163,2553142,119,13,4,2022-07-04T07:33:55,-130,-2.156658333333333,-129725,-2.1620833333333334,97.658857485749
1656909274,327100,2619660,2619660,2619660,17237,765,-11,0,166,2599598,85,13,4,2022-07-04T07:34:34,-91,-1.511215,-91313,-1.5218833333333335,97.50483043891059
1656909313,656800,2658989,2658989,2658989,17460,781,-11,0,171,2657166,52,13,4,2022-07-04T07:35:13,-52,-0.85572,-51984,-0.8664000000000001,97.82836924694038
1656909352,171700,2697827,2697827,2697827,17681,791,-11,0,175,2688253,17,13,4,2022-07-04T07:35:52,-13,-0.213805,-13146,-0.21910000000000002,98.56919707583074
1656909391,651200,2736982,2736982,2736982,17902,810,-11,0,180,2719679,238,13,4,2022-07-04T07:36:31,26,0.4441866666666667,26009,0.43348333333333333,246.91822125238969
1656909430,69200,2775633,2775633,2775633,18125,825,-11,0,184,2762100,205,13,4,2022-07-04T07:37:10,65,1.0844866666666666,64660,1.0776666666666666,484.47981613013366
1656909467,808300,2813137,2813137,2813137,18346,825,-11,0,187,2798918,170,13,4,2022-07-04T07:37:47,102,1.7134716666666667,102164,1.7027333333333334,720.1783077586146
1656909506,816900,2852569,2852569,2852569,18567,825,-11,0,188,2851533,135,13,4,2022-07-04T07:38:26,141,2.3636150000000002,141596,2.359933333333333,949.4803933628011
1656909545,308100,2890830,2890830,2890830,18790,839,-11,0,190,2867364,102,13,4,2022-07-04T07:39:05,180,3.005135,179857,2.9976166666666666,1181.180912285714
1656909621,896400,2967222,2967222,2967222,19232,857,-11,0,198,2963912,32,13,4,2022-07-04T07:40:21,256,4.281606666666667,256249,4.270816666666667,1639.0427634167809
1656909660,3900,3005329,3005329,3005329,19455,857,-11,0,199,2992772,255,13,4,2022-07-04T07:41:00,295,4.916731666666666,294356,4.9059333333333335,1869.6721952247794
1656909698,933500,3044650,3044650,3044650,19676,857,-11,0,201,3034409,220,13,4,2022-07-04T07:41:38,333,5.565558333333333,333677,5.561283333333334,2126.3018930378166
1656909737,577800,3082970,3082970,3082970,19897,881,-11,0,206,3081578,185,13,4,2022-07-04T07:42:17,372,6.209630000000001,371997,6.19995,2367.3597874703737
1656909815,110500,3160988,3160988,3160988,20341,904,-11,0,215,3159987,117,13,4,2022-07-04T07:43:35,450,7.5018416666666665,450015,7.500249999999999,2827.851113521529
1656909853,423900,3199099,3199099,3199099,20562,927,-11,0,219,3191607,82,13,4,2022-07-04T07:44:13,488,8.140398333333334,488126,8.135433333333333,3058.385137595228
1656909932,798100,3278118,3278118,3278118,21006,968,-11,0,227,3275274,14,13,4,2022-07-04T07:45:32,567,9.463301666666666,567145,9.452416666666666,3526.0377466145833
1656909970,911000,3316507,3316507,3316507,21227,997,-11,0,230,3306736,235,13,4,2022-07-04T07:46:10,605,10.098516666666665,605534,10.092233333333333,3764.1125317281344
1656910009,83100,3354402,3354402,3354402,21450,1016,-11,0,234,3348769,202,13,4,2022-07-04T07:46:49,644,10.734718333333332,643429,10.723816666666666,3988.1889187111838
1656910048,710700,3394029,3394029,3394029,21671,1031,-11,0,241,3391262,167,13,4,2022-07-04T07:47:28,683,11.395178333333332,683056,11.384266666666667,4219.828516967662
1656910086,518100,3431836,3431836,3431836,21892,1048,-11,0,243,3417485,132,13,4,2022-07-04T07:48:06,721,12.025301666666667,720863,12.014383333333335,4445.1766282518
1656910124,883700,3470515,3470515,3470515,22115,1048,-11,0,244,3443294,99,13,4,2022-07-04T07:48:44,759,12.664728333333333,759542,12.659033333333333,4680.9526587384
1656910164,294700,3509815,3509815,3509815,22336,1090,-11,0,250,3506569,64,13,4,2022-07-04T07:49:24,799,13.321578333333333,798842,13.314033333333333,4920.77155052693
1656910203,160700,3548631,3548631,3548631,22557,1097,-11,0,255,3548558,29,13,4,2022-07-04T07:50:03,838,13.969345,837658,13.960966666666668,5158.04021331575
1656910240,649000,3586964,3586964,3586964,22780,1111,-11,0,258,3579877,252,13,4,2022-07-04T07:50:40,875,14.59415,875991,14.59985,5404.99732255385
1656910279,745800,3626192,3626192,3626192,23001,1111,-11,0,261,3606087,217,13,4,2022-07-04T07:51:19,914,15.245763333333334,915219,15.25365,5654.3772928384415
1656910318,396800,3664711,3664711,3664711,23222,1125,-11,0,265,3663579,182,13,4,2022-07-04T07:51:58,953,15.889946666666667,953738,15.895633333333334,5885.554823961133
1656910397,262600,3743576,3743576,3743576,23666,1150,-11,0,272,3721359,114,13,4,2022-07-04T07:53:17,1032,17.20437666666667,1032603,17.210050000000003,6367.494581082914
1656910434,854500,3781402,3781402,3781402,23887,1192,-11,0,278,3779135,79,13,4,2022-07-04T07:53:54,1069,17.830908333333333,1070429,17.840483333333335,6603.676146436366
1656910473,352400,3819665,3819665,3819665,24110,1204,-11,0,283,3816315,46,13,4,2022-07-04T07:54:33,1108,18.47254,1108692,18.4782,6840.091341220425
1656910512,679800,3859336,3859336,3859336,24331,1222,-11,0,286,3837552,11,13,4,2022-07-04T07:55:12,1147,19.127996666666665,1148363,19.139383333333335,7076.05941077304
1656910551,305300,3897617,3897617,3897617,24552,1228,-11,0,289,3884992,232,13,4,2022-07-04T07:55:51,1186,19.771755,1186644,19.7774,7305.269009050678
1656910628,720600,3975136,3975136,3975136,24996,1261,-11,0,297,3973758,164,13,4,2022-07-04T07:57:08,1263,21.06201,1264163,21.069383333333334,7816.8129827835755
1656910666,972600,4013604,4013604,4013604,25217,1273,-11,0,301,4010338,129,13,4,2022-07-04T07:57:46,1301,21.699543333333335,1302631,21.710516666666667,8050.7862886831035
1656910706,271500,4051808,4051808,4051808,25440,1302,-11,0,306,4046806,96,13,4,2022-07-04T07:58:26,1341,22.354525000000002,1340835,22.34725,8317.973086060434
1656910746,67800,4091604,4091604,4091604,25661,1302,-11,0,310,4088681,61,13,4,2022-07-04T07:59:06,1381,23.017796666666666,1380631,23.010516666666668,8574.344643566132
1656910783,644200,4129180,4129180,4129180,25882,1309,-11,0,314,4114999,26,13,4,2022-07-04T07:59:43,1418,23.64407,1418207,23.636783333333334,8832.000371747212
1656910823,254600,4168648,4168648,4168648,26105,1333,-11,0,319,4162165,249,13,4,2022-07-04T08:00:23,1458,24.304243333333332,1457675,24.294583333333332,9083.081754948134
1656910861,809100,4207441,4207441,4207441,26326,1361,-11,0,324,4199244,214,13,4,2022-07-04T08:01:01,1496,24.946818333333333,1496468,24.941133333333333,9325.662964524752
1656910900,435400,4245745,4245745,4245745,26547,1388,-11,0,329,4241420,179,13,4,2022-07-04T08:01:40,1535,25.590590000000002,1534772,25.579533333333334,9585.170460175306
1656910938,832500,4284256,4284256,4284256,26770,1388,-11,0,331,4283381,146,13,4,2022-07-04T08:02:18,1573,26.230541666666667,1573283,26.221383333333332,9839.860448455413
1656910976,418200,4321727,4321727,4321727,26991,1388,-11,0,333,4309333,111,13,4,2022-07-04T08:02:56,1611,26.85697,1610754,26.845899999999997,10107.873962770132
1656911014,796100,4360309,4360309,4360309,27212,1417,-11,0,338,4356211,76,13,4,2022-07-04T08:03:34,1649,27.496601666666667,1649336,27.488933333333332,10373.69781326062
1656911053,315300,4398878,4398878,4398878,27435,1444,-11,0,344,4398727,43,13,4,2022-07-04T08:04:13,1688,28.138588333333335,1687905,28.13175,10642.257182870755
1656911092,237400,4437546,4437546,4437546,27656,1471,-11,0,348,4425228,8,13,4,2022-07-04T08:04:52,1727,28.78729,1726573,28.776216666666667,10855.55157538955
1656911125,857600,4477166,4477166,4477166,27877,1493,-11,0,355,4473000,229,13,4,2022-07-04T08:05:25,1760,29.347626666666667,1766193,29.43655,11113.132848243464
1656911169,729000,4515037,4515037,4515037,28100,1516,-11,0,359,4499542,196,13,4,2022-07-04T08:06:09,1804,30.07881666666667,1804064,30.067733333333333,11336.323726171913
1656911208,168100,4553476,4553476,4553476,28321,1516,-11,0,362,4552046,161,13,4,2022-07-04T08:06:48,1843,30.719468333333335,1842503,30.708383333333334,11554.38220901839
1656911247,274700,4592582,4592582,4592582,28542,1530,-11,0,364,4573362,126,13,4,2022-07-04T08:07:27,1882,31.371245,1881609,31.360149999999997,11795.483547944536
1656911285,167300,4630475,4630475,4630475,28765,1543,-11,0,368,4625383,93,13,4,2022-07-04T08:08:05,1920,32.002788333333335,1919502,31.991699999999998,12031.955416518942
1656911324,119500,4669701,4669701,4669701,28986,1546,-11,0,371,4664122,58,13,4,2022-07-04T08:08:44,1959,32.65199166666667,1958728,32.64546666666667,12270.565624701618
1656911361,302200,4706610,4706610,4706610,29207,1567,-11,0,376,4703861,23,13,4,2022-07-04T08:09:21,1996,33.271703333333335,1995637,33.260616666666664,12488.53530290897
