time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,9200,2450346,10,76036,90,13,1,2022-07-04T07:31:44,-261,-4.349846666666666,-260627,-4.3437833333333336,96.94170997386281
1656909104,888200,2451349,10,75880,101,13,1,2022-07-04T07:31:44,-261,-4.335196666666667,-259624,-4.327066666666667,96.08978271484375
1656909106,28300,2452365,10,75893,109,13,1,2022-07-04T07:31:46,-259,-4.316195,-258608,-4.310133333333334,96.08651500930662
1656909107,39500,2453376,11,75888,117,13,1,2022-07-04T07:31:47,-258,-4.299341666666667,-257597,-4.293283333333333,96.0176753459912
1656909109,85600,2455422,10,75827,127,13,1,2022-07-04T07:31:49,-256,-4.26524,-255551,-4.2591833333333335,96.7421575093675
1656909111,363800,2457700,10,75790,135,13,1,2022-07-04T07:31:51,-254,-4.22727,-253273,-4.221216666666667,96.82568886456104
1656909112,502600,2458838,10,75858,144,13,1,2022-07-04T07:31:52,-253,-4.20829,-252135,-4.20225,96.49822499617972
1656909117,733800,2464070,9,75796,170,13,1,2022-07-04T07:31:57,-248,-4.121103333333333,-246903,-4.11505,95.60874535421723
1656909118,448600,2465149,9,75673,180,13,1,2022-07-04T07:31:58,-247,-4.10919,-245824,-4.097066666666667,93.27680074451042
1656909121,66600,2467403,9,75657,189,13,1,2022-07-04T07:32:01,-244,-4.065556666666667,-243570,-4.0595,96.42254435755885
1656909122,80800,2468417,10,75631,197,13,1,2022-07-04T07:32:02,-243,-4.048653333333333,-242556,-4.0426,96.35366790944178
1656909123,82600,2469419,9,75615,207,13,1,2022-07-04T07:32:03,-242,-4.031956666666667,-241554,-4.0259,96.1565384657118
1656909124,222800,2470559,9,75739,215,13,1,2022-07-04T07:32:04,-241,-4.012953333333333,-240414,-4.0069,96.54564374550102
1656909126,348300,2473008,9,75789,223,13,1,2022-07-04T07:32:06,-239,-3.9775283333333333,-237965,-3.966083333333333,97.08683181449483
1656909128,538900,2475199,9,75738,234,13,1,2022-07-04T07:32:08,-237,-3.941018333333333,-235774,-3.9295666666666667,97.34691511128936
1656909129,554700,2476215,9,75448,242,13,1,2022-07-04T07:32:09,-236,-3.924088333333333,-234758,-3.9126333333333334,96.20528097878237
1656909130,570900,2477231,8,75446,250,13,1,2022-07-04T07:32:10,-235,-3.9071516666666666,-233742,-3.8956999999999997,96.01923509382743
1656909133,721700,2480382,7,75548,12,13,1,2022-07-04T07:32:13,-232,-3.8546383333333334,-230591,-3.8431833333333336,96.66672132634517
1656909136,323000,2482659,7,75635,21,13,1,2022-07-04T07:32:16,-229,-3.8112833333333334,-228314,-3.8052333333333332,96.70976589059667
1656909137,344800,2483681,7,75625,31,13,1,2022-07-04T07:32:17,-228,-3.7942533333333333,-227292,-3.7882000000000002,96.5632836013117
1656909138,356800,2484693,6,75604,39,13,1,2022-07-04T07:32:18,-227,-3.7773866666666667,-226280,-3.771333333333333,96.22351898193361
1656909139,372800,2485709,5,75602,47,13,1,2022-07-04T07:32:19,-226,-3.760453333333333,-225264,-3.7544,96.00577545166016
1656909141,450200,2488160,5,75950,57,13,1,2022-07-04T07:32:21,-224,-3.72583,-222813,-3.7135499999999997,97.43387603759766
1656909143,962900,2490298,6,75839,66,13,1,2022-07-04T07:32:23,-222,-3.6839516666666667,-220675,-3.677916666666667,97.19820950234474
1656909146,59200,2492395,6,75575,74,13,1,2022-07-04T07:32:26,-219,-3.6490133333333334,-218578,-3.6429666666666667,96.49569732575382
1656909148,84200,2494420,6,75577,92,13,1,2022-07-04T07:32:28,-217,-3.615263333333333,-216553,-3.6092166666666667,96.35134882516257
1656909149,88200,2495424,6,75565,100,13,1,2022-07-04T07:32:29,-216,-3.59853,-215549,-3.5924833333333335,96.99601374867628
1656909151,74700,2497566,6,75536,111,13,1,2022-07-04T07:32:31,-214,-3.5654216666666665,-213407,-3.5567833333333336,96.64449862631844
1656909153,482400,2499818,7,75751,119,13,1,2022-07-04T07:32:33,-212,-3.525293333333333,-211155,-3.51925,97.22531600414327
1656909154,505100,2500841,8,75769,127,13,1,2022-07-04T07:32:34,-211,-3.5082483333333334,-210132,-3.5022,96.56436358390155
1656909155,521100,2501857,8,75778,137,13,1,2022-07-04T07:32:35,-210,-3.491315,-209116,-3.485266666666667,96.13297985017464
1656909156,562100,2502898,8,75808,145,13,1,2022-07-04T07:32:36,-209,-3.473965,-208075,-3.4679166666666665,96.12674283063488
1656909159,63400,2505399,8,76100,154,13,1,2022-07-04T07:32:39,-206,-3.4322766666666666,-205574,-3.4262333333333337,96.942778090507
1656909161,449300,2507785,8,76115,164,13,1,2022-07-04T07:32:41,-204,-3.3925116666666666,-203188,-3.3864666666666663,96.84821187145305
1656909162,578400,2508914,8,76055,172,13,1,2022-07-04T07:32:42,-203,-3.3736933333333337,-202059,-3.36765,96.5850296350748
1656909163,633100,2509969,8,76009,180,13,1,2022-07-04T07:32:43,-202,-3.356115,-201004,-3.3500666666666663,96.31583057969151
1656909164,649200,2510985,8,75984,190,13,1,2022-07-04T07:32:44,-201,-3.33918,-199988,-3.3331333333333335,96.2107577938426
1656909166,555900,2513167,7,75090,199,13,1,2022-07-04T07:32:46,-199,-3.3074016666666664,-197806,-3.296766666666667,96.64194280932425
1656909168,817100,2515429,7,75130,207,13,1,2022-07-04T07:32:48,-197,-3.2697149999999997,-195544,-3.259066666666667,97.3564984537875
1656909170,60600,2516672,7,75172,217,13,1,2022-07-04T07:32:50,-195,-3.24899,-194301,-3.2383499999999996,97.12135909536144
1656909171,71900,2517684,7,75182,225,13,1,2022-07-04T07:32:51,-194,-3.232135,-193289,-3.221483333333333,96.58544817993896
