time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,lat,lon,h,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909180,149000,2524966,102799000,-836,2217,0,92,269202512,226321507,530286929,36767,0,0,0,2032,9999,0,0,142,11,0,2022-07-04T07:33:00,-185,-3.08085,56.62382890164948,40.05413459257804,-121.20155057851836,-186007,-3.1001166666666666,96.31859110999173
1656909181,121000,2525938,102800000,3130,2217,0,92,269202512,226321507,530286929,39760,0,0,0,2093,9999,0,0,170,11,0,2022-07-04T07:33:01,-184,-3.06465,56.62382890164948,40.05413459257804,-121.20155057851836,-185035,-3.0839166666666666,96.21475531760227
1656909182,143000,2526960,102801000,7101,2217,0,92,269202512,226321507,530286929,42864,0,0,0,2152,9999,0,0,199,11,0,2022-07-04T07:33:02,-183,-3.047616666666667,56.62382890164948,40.05413459257804,-121.20155057851836,-184013,-3.0668833333333336,96.08078992378498
1656909183,114000,2527931,102802000,11070,2217,0,92,269202512,226321507,530286929,46073,0,0,0,2209,9999,0,0,227,11,0,2022-07-04T07:33:03,-182,-3.031433333333333,56.62382890164948,40.05413459257804,-121.20155057851836,-183042,-3.0507,96.61480057212218
1656909184,132000,2528949,102803000,15037,2217,0,92,269202512,226321507,530286929,49383,0,0,0,2265,9999,0,0,0,11,0,2022-07-04T07:33:04,-181,-3.0144666666666664,56.62382890164948,40.05413459257804,-121.20155057851836,-182024,-3.033733333333333,96.84200210612552
1656909185,150000,2529967,102804000,19002,2217,0,92,269202512,226321507,530286929,52789,0,0,0,2319,9999,0,0,29,11,0,2022-07-04T07:33:05,-180,-2.9975,56.62382890164948,40.05413459257804,-121.20155057851836,-181006,-3.016766666666667,97.01663731706252
1656909186,118000,2530935,102805000,22970,2217,0,92,269202512,226321507,530286929,56288,0,0,0,2373,9999,0,0,57,11,0,2022-07-04T07:33:06,-179,-2.9813666666666667,56.62382890164948,40.05413459257804,-121.20155057851836,-180038,-3.0006333333333335,97.05393962475138
1656909187,239000,2532056,102806000,26139,2217,3,92,269235047,226322002,530303676,10449,418,-244,240,477,214,0,4,88,11,0,2022-07-04T07:33:07,-178,-2.962683333333333,56.622764768899444,40.05078573153708,157.40795262385438,-178917,-2.98195,97.09713785503982
1656909188,154000,2532970,102807000,30107,2217,3,92,269235167,226322068,530303989,10280,267,-19,275,495,214,0,4,115,11,0,2022-07-04T07:33:08,-177,-2.9474333333333336,56.622770159339694,40.05078138297343,160.7607023732332,-178003,-2.9667166666666662,96.48658493680449
1656909189,122000,2533939,102808000,34084,2217,3,93,269234800,226322153,530303994,8180,47,-29,276,343,214,0,4,143,11,0,2022-07-04T07:33:09,-176,-2.9313,56.622787371855445,40.05083045138075,159.55783014438728,-177034,-2.9505666666666666,96.21300620088657
1656909190,141000,2534957,102809000,38057,2217,3,93,269234666,226322206,530303962,6647,67,72,184,265,214,0,4,172,11,0,2022-07-04T07:33:10,-175,-2.9143166666666667,56.62279092551048,40.05085110627446,158.9139235009948,-176016,-2.9335999999999998,96.6268409105995
1656909191,159000,2535976,102810000,42030,2217,3,93,269234498,226322308,530303728,5604,43,90,107,242,214,0,4,201,11,0,2022-07-04T07:33:11,-174,-2.8973500000000003,56.622784086706325,40.050881435190746,156.61346147205862,-174997,-2.916616666666667,97.40771322672914
1656909192,177000,2536994,102811000,45999,2217,3,93,269234329,226322274,530303490,4987,-40,-61,90,275,214,0,4,230,11,0,2022-07-04T07:33:12,-173,-2.8803833333333335,56.62278367024829,40.05089491030236,153.7939419660226,-173979,-2.8996500000000003,96.97604804902818
1656909193,145000,2537962,102812000,49964,2217,3,93,269234187,226322207,530303327,4548,-64,-75,26,265,214,0,4,2,11,0,2022-07-04T07:33:13,-172,-2.8642499999999997,56.62278700162938,40.05090144028665,151.59760507236768,-173011,-2.8835166666666665,96.73177138786187
1656909198,134000,2542951,102817000,69817,2217,0,92,269234103,226321790,530303331,4363,3,-178,59,804,9999,0,0,145,11,0,2022-07-04T07:33:18,-167,-2.7811000000000003,56.62281214315904,40.050858247025744,149.80107217361217,-168022,-2.8003666666666667,96.49809545817767
1656909199,152000,2543968,102818000,73789,2217,0,92,269234105,226321612,530303390,5134,3,-178,59,960,9999,0,0,174,11,0,2022-07-04T07:33:19,-166,-2.7641333333333336,56.62282353247191,40.05083584146527,149.67206005938212,-167005,-2.7834166666666667,97.04677915236586
1656909200,119000,2544936,102819000,77760,2217,0,92,269234108,226321434,530303449,6270,3,-178,59,1095,9999,0,0,202,11,0,2022-07-04T07:33:20,-165,-2.7480166666666666,56.62283486437755,40.05081333106919,149.54725973282117,-166037,-2.7672833333333333,97.35779431561784
1656909201,137000,2545954,102820000,81732,2217,0,92,269234111,226321256,530303507,7722,3,-178,59,1215,9999,0,0,231,11,0,2022-07-04T07:33:21,-164,-2.73105,56.622846146875006,40.05079082065876,149.41410928089542,-165019,-2.750316666666667,97.04649530848178
