time_s,time_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,baro_altitude,baro_pressure
1656911705,387878,2,0,0,2022-07-04T08:15:05,2340,39.00646463333333,14370.854318488964,13368.962239555523
1656923110,988227,18,0,0,2022-07-04T11:25:10,13745,229.09980378333333,173.16754150390625,99262.0
1656923125,508324,28,0,0,2022-07-04T11:25:25,13760,229.3418054,173.16754150390625,99262.0
1656923126,393138,29,0,0,2022-07-04T11:25:26,13761,229.3565523,173.16754150390625,99262.0
