time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656913870,621000,7215456,27.94871711730957,3.2929999828338623,3.012307643890381,88,11,0,2022-07-04T08:51:10,4505,75.09368333333333,4504483,75.07471666666667,25577.836824755424,2333.809230114844
1656913871,645000,7216480,27.94871711730957,3.2860000133514404,3.105787515640259,117,11,0,2022-07-04T08:51:11,4506,75.11075000000001,4505507,75.09178333333332,25583.956206578765,2331.6314334325803
1656913872,669000,7217504,27.94871711730957,3.2929999828338623,3.015531063079834,146,11,0,2022-07-04T08:51:12,4507,75.12781666666666,4506531,75.10885,25597.33751212721,2326.882150028318
1656913873,693000,7218528,27.94871711730957,3.2929999828338623,3.0171430110931396,175,11,0,2022-07-04T08:51:13,4508,75.14488333333334,4507555,75.12591666666667,25613.684111519684,2321.0828399320403
1656913874,717000,7219552,27.655677795410156,3.2929999828338623,3.0139193534851074,204,11,0,2022-07-04T08:51:14,4509,75.16194999999999,4508579,75.14298333333333,25614.36200006625,2320.8407026044815
1656913875,741000,7220576,27.94871711730957,3.2929999828338623,3.109010934829712,233,11,0,2022-07-04T08:51:15,4510,75.17901666666667,4509603,75.16005,25611.442557304286,2321.874419543711
1656913881,881000,7226715,28.241758346557617,3.2929999828338623,3.015531063079834,152,11,0,2022-07-04T08:51:21,4516,75.28135,4515742,75.26236666666667,25644.669042163227,2310.137348935352
1656913882,905000,7227739,27.94871711730957,3.2929999828338623,3.015531063079834,182,11,0,2022-07-04T08:51:22,4517,75.29841666666667,4516766,75.27943333333333,25653.656269582785,2306.971833773087
1656913883,927000,7228762,27.94871711730957,3.2880001068115234,3.1073992252349854,211,11,0,2022-07-04T08:51:23,4518,75.31545,4517789,75.29648333333333,25655.573362260882,2306.297691292876
1656913884,949000,7229783,27.94871711730957,3.2929999828338623,3.018754482269287,239,11,0,2022-07-04T08:51:24,4519,75.33248333333333,4518810,75.3135,25661.20284861167,2304.319246060965
