time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,351400,2450827,50.674156188964844,3.2799999713897705,3.2927472591400146,95,13,0,2022-07-04T07:31:44,-261,-4.344143333333333,-260146,-4.335766666666667,96.55608893148673,100170.44911464854
1656909105,566500,2451918,50.674156188964844,3.2799999713897705,3.2927472591400146,104,13,0,2022-07-04T07:31:45,-260,-4.3238916666666665,-259055,-4.317583333333333,96.08978271484375,100176.0
1656909106,800500,2453153,50.674156188964844,3.2799999713897705,3.2927472591400146,112,13,0,2022-07-04T07:31:46,-259,-4.303325,-257820,-4.297,96.03394579647812,100176.66466774716
1656909108,70600,2454806,50.674156188964844,3.2799999713897705,3.2927472591400146,122,13,0,2022-07-04T07:31:48,-257,-4.282156666666666,-256167,-4.26945,96.34274117389327,100172.98880966012
1656909110,345800,2456697,50.674156188964844,3.2799999713897705,3.291135549545288,130,13,0,2022-07-04T07:31:50,-255,-4.244236666666667,-254276,-4.237933333333333,96.87079457715393,100166.70289389067
1656909112,598800,2458950,50.674156188964844,3.2799999713897705,3.2927472591400146,138,13,0,2022-07-04T07:31:52,-253,-4.206686666666666,-252023,-4.200383333333333,96.47056252327991,100171.46718826405
1656909113,723800,2460075,50.674156188964844,3.2799999713897705,3.2927472591400146,149,13,0,2022-07-04T07:31:53,-252,-4.187936666666666,-250898,-4.181633333333333,96.13322335723122,100175.48285976169
1656909118,121800,2464837,50.97378158569336,3.2799999713897705,3.2927472591400146,175,13,0,2022-07-04T07:31:58,-247,-4.114636666666667,-246136,-4.102266666666667,94.3429444188979,100196.79417475728
1656909120,604800,2466956,50.674156188964844,3.2799999713897705,3.2927472591400146,183,13,0,2022-07-04T07:32:00,-245,-4.073253333333333,-244017,-4.06695,95.62794310108809,100181.49765976597
1656909121,695800,2468047,50.674156188964844,3.2799999713897705,3.2927472591400146,192,13,0,2022-07-04T07:32:01,-244,-4.05507,-242926,-4.048766666666666,96.37981406653611,100172.54745351657
1656909122,966800,2469318,50.674156188964844,3.2799999713897705,3.2927472591400146,202,13,0,2022-07-04T07:32:02,-243,-4.033886666666667,-241655,-4.027583333333333,96.18247912326389,100174.89653333333
1656909124,319800,2470671,50.674156188964844,3.2799999713897705,3.2927472591400146,210,13,0,2022-07-04T07:32:04,-241,-4.011336666666667,-240302,-4.0050333333333334,96.59814733131644,100169.94845360825
1656909125,764900,2472440,50.97378158569336,3.2799999713897705,3.2927472591400146,218,13,0,2022-07-04T07:32:05,-240,-3.9872516666666664,-238533,-3.9755499999999997,97.02213662956801,100164.90132664511
1656909127,764100,2474440,50.674156188964844,3.2839999198913574,3.299194097518921,228,13,0,2022-07-04T07:32:07,-238,-3.9539316666666666,-236533,-3.9422166666666665,97.25463695850625,100162.1336483932
1656909129,240900,2475916,50.674156188964844,3.2799999713897705,3.2927472591400146,237,13,0,2022-07-04T07:32:09,-236,-3.9293183333333332,-235057,-3.9176166666666665,96.56771453102174,100170.31072410633
1656909130,331900,2477007,50.674156188964844,3.2839999198913574,3.2959706783294678,245,13,0,2022-07-04T07:32:10,-235,-3.9111350000000003,-233966,-3.8994333333333335,96.03763815148176,100176.62071494042
1656909133,100900,2479776,50.674156188964844,3.2799999713897705,3.2927472591400146,7,13,0,2022-07-04T07:32:13,-232,-3.864985,-231197,-3.853283333333333,96.5288465954969,100170.77343027099
1656909134,960900,2481636,50.674156188964844,3.2799999713897705,3.2927472591400146,15,13,0,2022-07-04T07:32:14,-231,-3.8339849999999998,-229337,-3.822283333333333,96.7234826332679,100168.45651478451
1656909137,161000,2483512,50.97378158569336,3.2799999713897705,3.2927472591400146,26,13,0,2022-07-04T07:32:17,-228,-3.7973166666666667,-227461,-3.7910166666666667,96.58963263710204,100170.04982935154
1656909138,429000,2484780,50.674156188964844,3.2799999713897705,3.2927472591400146,34,13,0,2022-07-04T07:32:18,-227,-3.7761833333333334,-226193,-3.7698833333333335,96.19117107476129,100174.79306666667
1656909139,520000,2485871,50.674156188964844,3.2799999713897705,3.2927472591400146,42,13,0,2022-07-04T07:32:19,-226,-3.758,-225102,-3.7517,96.00577545166016,100177.0
1656909140,882000,2487234,50.97378158569336,3.2799999713897705,3.2927472591400146,52,13,0,2022-07-04T07:32:20,-225,-3.7353,-223739,-3.7289833333333333,96.89876211453668,100166.36995515694
1656909143,453400,2489804,50.97378158569336,3.2799999713897705,3.2927472591400146,60,13,0,2022-07-04T07:32:23,-222,-3.6924433333333337,-221169,-3.68615,97.24599558890952,100162.2365463342
1656909145,232400,2491583,50.97378158569336,3.2799999713897705,3.2927472591400146,69,13,0,2022-07-04T07:32:25,-220,-3.662793333333333,-219390,-3.6565,96.75493050772187,100168.08213457077
1656909149,110400,2495461,50.97378158569336,3.2839999198913574,3.2959706783294678,95,13,0,2022-07-04T07:32:29,-216,-3.59816,-215512,-3.5918666666666668,97.01270755855629,100165.0135549872
1656909150,469900,2496976,50.674156188964844,3.2799999713897705,3.2927472591400146,105,13,0,2022-07-04T07:32:30,-215,-3.575501666666667,-213997,-3.566616666666667,97.05318183801292,100164.53177330896
1656909152,522300,2498873,50.97378158569336,3.2799999713897705,3.2927472591400146,114,13,0,2022-07-04T07:32:32,-213,-3.541295,-212100,-3.5349999999999997,96.96540234368854,100165.57671701914
1656909154,577300,2500928,50.674156188964844,3.2799999713897705,3.2927472591400146,122,13,0,2022-07-04T07:32:34,-211,-3.5070449999999997,-210045,-3.5007499999999996,96.50634009759678,100171.04135697991
1656909155,668300,2502019,50.674156188964844,3.2799999713897705,3.2927472591400146,132,13,0,2022-07-04T07:32:35,-210,-3.4888616666666667,-208954,-3.4825666666666666,96.12164541466535,100175.62071494042
1656909156,759300,2503110,50.674156188964844,3.2799999713897705,3.2927472591400146,140,13,0,2022-07-04T07:32:36,-209,-3.4706783333333333,-207863,-3.464383333333333,96.14192727820574,100175.37928505958
1656909158,524300,2504875,50.674156188964844,3.2820000648498535,3.2927472591400146,148,13,0,2022-07-04T07:32:38,-207,-3.4412616666666667,-206098,-3.434966666666667,96.72346819713675,100168.45665859563
1656909160,430300,2506782,50.97378158569336,3.2799999713897705,3.2927472591400146,159,13,0,2022-07-04T07:32:40,-205,-3.409495,-204191,-3.4031833333333332,96.96003033916263,100165.6406233208
1656909162,265300,2508616,50.97378158569336,3.2799999713897705,3.2927472591400146,167,13,0,2022-07-04T07:32:42,-203,-3.3789116666666668,-202357,-3.3726166666666666,96.65801020208394,100169.2358490566
1656909163,755300,2510106,50.674156188964844,3.2799999713897705,3.2927472591400146,175,13,0,2022-07-04T07:32:43,-202,-3.3540783333333333,-200867,-3.347783333333333,96.28344744252105,100173.69463722398
1656909164,846300,2511197,50.674156188964844,3.2799999713897705,3.2927472591400146,185,13,0,2022-07-04T07:32:44,-201,-3.335895,-199776,-3.3296,96.22593454138934,100174.37928505958
1656909165,937300,2512288,50.97378158569336,3.2799999713897705,3.2927472591400146,193,13,0,2022-07-04T07:32:45,-200,-3.317711666666667,-198685,-3.3114166666666667,96.43074412939275,100171.9412241589
1656909167,388100,2514287,50.674156188964844,3.2799999713897705,3.2959706783294678,202,13,0,2022-07-04T07:32:47,-198,-3.2935316666666665,-196686,-3.2781000000000002,96.99779963036589,100165.19102267468
1656909169,508100,2516135,50.97378158569336,3.2799999713897705,3.2927472591400146,212,13,0,2022-07-04T07:32:49,-196,-3.258198333333333,-194838,-3.2473,97.22583396108753,100162.4765334834
1656909171,94100,2517721,50.97378158569336,3.2799999713897705,3.2927472591400146,220,13,0,2022-07-04T07:32:51,-194,-3.231765,-193252,-3.2208666666666668,96.57262357696052,100170.25231307826
1656909172,461600,2518812,50.674156188964844,3.2799999713897705,3.2927472591400146,228,13,0,2022-07-04T07:32:52,-193,-3.2089733333333332,-192161,-3.2026833333333333,96.17378997802734,100175.0
1656909173,552600,2519903,50.97378158569336,3.2799999713897705,3.2927472591400146,238,13,0,2022-07-04T07:32:53,-192,-3.19079,-191070,-3.1845,96.30838302949249,100173.39779179811
1656909175,346600,2521697,50.97378158569336,3.2799999713897705,3.2927472591400146,247,13,0,2022-07-04T07:32:55,-190,-3.16089,-189276,-3.1546000000000003,97.08434247935075,100164.16083395384
1656909177,498500,2523849,50.674156188964844,3.2820000648498535,3.2927472591400146,255,13,0,2022-07-04T07:32:57,-188,-3.125025,-187124,-3.118733333333333,97.38687749215556,100160.5595162317
1656909179,279500,2525784,50.97378158569336,3.2799999713897705,3.291135549545288,9,13,0,2022-07-04T07:32:59,-186,-3.0953416666666667,-185189,-3.0864833333333332,96.65610980405134,100169.25847203928
1656909180,524800,2526875,50.97378158569336,3.2799999713897705,3.2927472591400146,17,13,0,2022-07-04T07:33:00,-185,-3.074586666666667,-184098,-3.0683000000000002,96.28965704731718,100173.62071494042
1656909181,615800,2527966,50.674156188964844,3.2799999713897705,3.2927472591400146,25,13,0,2022-07-04T07:33:01,-184,-3.0564033333333334,-183007,-3.050116666666667,96.09799466079541,100175.90224719101
1656909182,943800,2529294,50.674156188964844,3.2799999713897705,3.2927472591400146,37,13,0,2022-07-04T07:33:02,-183,-3.03427,-181679,-3.0279833333333332,96.52119746980809,100170.86448445171
1656909184,360800,2530975,50.97378158569336,3.2799999713897705,3.2927472591400146,47,13,0,2022-07-04T07:33:04,-181,-3.010653333333333,-179998,-2.9999666666666664,96.88358225845658,100166.55067604111
1656909186,580800,2533195,50.97378158569336,3.2799999713897705,3.2927472591400146,55,13,0,2022-07-04T07:33:06,-179,-2.973653333333333,-177778,-2.9629666666666665,97.07177382722907,100164.3104587156
1656909188,198900,2534549,50.97378158569336,3.2799999713897705,3.2927472591400146,65,13,0,2022-07-04T07:33:08,-177,-2.946685,-176424,-2.9404,96.4559668996362,100171.6409859051
1656909189,289900,2535640,50.674156188964844,3.2799999713897705,3.2927472591400146,73,13,0,2022-07-04T07:33:09,-176,-2.928501666666667,-175333,-2.9222166666666665,96.22593454138934,100174.37928505958
1656909190,414900,2536765,50.97378158569336,3.2799999713897705,3.2927472591400146,82,13,0,2022-07-04T07:33:10,-175,-2.9097516666666667,-174208,-2.9034666666666666,96.85798900354607,100166.85533869117
1656909192,209500,2538974,50.97378158569336,3.2799999713897705,3.2927472591400146,92,13,0,2022-07-04T07:33:12,-173,-2.8798416666666666,-171999,-2.86665,96.96226698981867,100165.6140213124
