time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,31200,2450368,19.59531593322754,89,13,0,2022-07-04T07:31:44,-261,-4.34948,-260605,-4.343416666666667,96.9169184398702,100166.15381863709
1656909105,10400,2451471,19.59531593322754,100,13,0,2022-07-04T07:31:45,-260,-4.33316,-259502,-4.325033333333334,96.08978271484375,100176.0
1656909106,225500,2452562,19.59531593322754,108,13,0,2022-07-04T07:31:46,-259,-4.312908333333334,-258411,-4.30685,96.07309018572494,100176.19870340357
1656909107,370600,2454091,19.60936164855957,116,13,0,2022-07-04T07:31:47,-258,-4.293823333333333,-256882,-4.281366666666667,96.06728163218689,100176.26783948368
1656909109,645800,2455982,19.59531593322754,126,13,0,2022-07-04T07:31:49,-256,-4.255903333333333,-254991,-4.24985,96.80776948182657,100167.45316184351
1656909111,898200,2458234,19.581270217895508,134,13,0,2022-07-04T07:31:51,-254,-4.2183633333333335,-252739,-4.212316666666667,96.67202123963746,100169.06904645477
1656909113,291800,2459628,19.59531593322754,143,13,0,2022-07-04T07:31:53,-252,-4.1951366666666665,-251345,-4.1890833333333335,96.2662767530908,100173.89899175068
1656909114,382800,2460719,19.60936164855957,153,13,0,2022-07-04T07:31:54,-251,-4.1769533333333335,-250254,-4.1709,96.09838187157075,100175.8976236352
1656909117,755800,2464092,19.581270217895508,169,13,0,2022-07-04T07:31:57,-248,-4.120736666666667,-246881,-4.114683333333334,95.53697313623523,100182.58058252427
1656909119,282800,2465983,19.59531593322754,179,13,0,2022-07-04T07:31:59,-246,-4.0952866666666665,-244990,-4.083166666666667,93.07895254758326,100211.84059405941
1656909121,263800,2467600,19.59531593322754,188,13,0,2022-07-04T07:32:01,-244,-4.06227,-243373,-4.056216666666667,96.40915209215885,100172.19822150364
1656909122,500800,2468837,19.59531593322754,196,13,0,2022-07-04T07:32:02,-243,-4.0416533333333335,-242136,-4.0356,96.28686898871527,100173.65386666666
1656909123,625800,2469962,19.59531593322754,206,13,0,2022-07-04T07:32:03,-242,-4.022903333333334,-241011,-4.01685,96.22250311939987,100174.42010309278
1656909125,177800,2471514,19.59531593322754,214,13,0,2022-07-04T07:32:05,-240,-3.997036666666667,-239459,-3.9909833333333333,96.95703113921742,100165.67632499505
1656909126,995900,2473656,19.59531593322754,222,13,0,2022-07-04T07:32:06,-239,-3.966735,-237317,-3.9552833333333335,97.16314486123213,100163.22277882797
1656909128,808900,2475469,19.59531593322754,233,13,0,2022-07-04T07:32:08,-237,-3.9365183333333333,-235504,-3.9250666666666665,97.06666703123659,100164.37121906508
1656909129,899900,2476560,19.60936164855957,241,13,0,2022-07-04T07:32:09,-236,-3.918335,-234413,-3.9068833333333335,96.07090225569378,100176.22474793767
1656909130,990900,2477651,19.60936164855957,249,13,0,2022-07-04T07:32:10,-235,-3.9001516666666665,-233322,-3.8887,96.06023241687278,100176.3517514871
1656909134,262900,2480923,19.59531593322754,11,13,0,2022-07-04T07:32:14,-231,-3.8456183333333334,-230050,-3.834166666666667,96.69668446604422,100168.77551300215
1656909136,470000,2482806,19.59531593322754,20,13,0,2022-07-04T07:32:16,-229,-3.8088333333333333,-228167,-3.802783333333333,96.68869239624857,100168.87064846416
1656909137,963000,2484299,19.60936164855957,30,13,0,2022-07-04T07:32:17,-228,-3.78395,-226674,-3.7779000000000003,96.39995396592883,100172.30773333333
1656909139,88000,2485424,19.59531593322754,38,13,0,2022-07-04T07:32:19,-226,-3.7652,-225549,-3.75915,96.00577545166016,100177.0
1656909140,179000,2486515,19.59531593322754,46,13,0,2022-07-04T07:32:20,-225,-3.7470166666666667,-224458,-3.7409666666666666,96.23669754587797,100174.25112107623
1656909141,695200,2488405,19.60936164855957,56,13,0,2022-07-04T07:32:21,-224,-3.7217466666666668,-222568,-3.7094666666666667,97.41089744837612,100160.27353926311
1656909144,529400,2490865,19.59531593322754,65,13,0,2022-07-04T07:32:24,-221,-3.6745099999999997,-220108,-3.6684666666666668,97.02897429233914,100164.81995359629
1656909146,106400,2492442,19.59531593322754,73,13,0,2022-07-04T07:32:26,-219,-3.6482266666666665,-218531,-3.6421833333333336,96.49233275823387,100171.20806109461
1656909148,463400,2494799,19.60936164855957,91,13,0,2022-07-04T07:32:28,-217,-3.6089433333333334,-216174,-3.6029,96.52618075709819,100170.80511508952
1656909150,27400,2496363,19.59531593322754,99,13,0,2022-07-04T07:32:30,-215,-3.5828766666666665,-214610,-3.5768333333333335,97.35219361244215,100160.9723583181
1656909151,819300,2498155,19.59531593322754,110,13,0,2022-07-04T07:32:31,-214,-3.553011666666667,-212818,-3.546966666666667,96.77508956033297,100167.84217522659
1656909154,145300,2500481,19.59531593322754,118,13,0,2022-07-04T07:32:34,-211,-3.5142450000000003,-210492,-3.5082,96.85351663615164,100166.90860254617
1656909155,236300,2501572,19.60936164855957,126,13,0,2022-07-04T07:32:35,-210,-3.496061666666667,-209401,-3.490016666666667,96.15490951887737,100175.22474793767
1656909156,327300,2502663,19.60936164855957,136,13,0,2022-07-04T07:32:36,-209,-3.4778783333333334,-208310,-3.4718333333333335,96.10866317399372,100175.77525206233
1656909157,418300,2503754,19.581270217895508,144,13,0,2022-07-04T07:32:37,-208,-3.4596950000000004,-207219,-3.45365,96.27353916343706,100173.81259079903
1656909159,753300,2506089,19.59531593322754,153,13,0,2022-07-04T07:32:39,-206,-3.4207783333333333,-204884,-3.414733333333333,96.99059074602737,100165.27684040838
1656909161,571300,2507907,19.59531593322754,163,13,0,2022-07-04T07:32:41,-204,-3.3904783333333333,-203066,-3.3844333333333334,96.81977485716011,100167.3102108768
1656909163,146300,2509482,19.60936164855957,171,13,0,2022-07-04T07:32:43,-202,-3.3642283333333336,-201491,-3.3581833333333337,96.44483312612829,100171.77350157729
1656909164,414300,2510750,19.60936164855957,179,13,0,2022-07-04T07:32:44,-201,-3.343095,-200223,-3.33705,96.19267043717731,100174.77525206233
1656909165,505300,2511841,19.59531593322754,189,13,0,2022-07-04T07:32:45,-200,-3.3249116666666665,-199132,-3.3188666666666666,96.3204177033819,100173.25456019457
1656909166,752100,2513364,19.59531593322754,198,13,0,2022-07-04T07:32:46,-199,-3.3041316666666662,-197609,-3.2934833333333335,96.72583983923097,100168.42841277187
1656909168,914100,2515526,19.60936164855957,206,13,0,2022-07-04T07:32:48,-197,-3.2680983333333335,-195447,-3.25745,97.3381562601668,100161.13944850872
1656909170,662100,2517274,19.60936164855957,216,13,0,2022-07-04T07:32:50,-195,-3.238965,-193699,-3.2283166666666667,96.82218341870318,100167.2815703926
1656909172,29600,2518365,19.59531593322754,224,13,0,2022-07-04T07:32:52,-193,-3.2161733333333333,-192608,-3.2101333333333333,96.17378997802734,100175.0
1656909173,120600,2519456,19.60936164855957,232,13,0,2022-07-04T07:32:53,-192,-3.19799,-191517,-3.19195,96.22252331562223,100174.41987381704
1656909174,654600,2520990,19.60936164855957,243,13,0,2022-07-04T07:32:54,-191,-3.1724233333333336,-189983,-3.1663833333333335,96.7055953615917,100168.66939687268
1656909176,536600,2522872,19.60936164855957,251,13,0,2022-07-04T07:32:56,-189,-3.1410566666666666,-188101,-3.1350166666666666,97.55832827038101,100158.51856566942
1656909178,422600,2524758,19.59531593322754,3,13,0,2022-07-04T07:32:58,-187,-3.1096233333333334,-186215,-3.1035833333333334,97.13020723215222,100163.61489641959
1656909180,92800,2526428,19.60936164855957,13,13,0,2022-07-04T07:33:00,-185,-3.0817866666666665,-184545,-3.0757499999999998,96.32291813054071,100173.22474793767
1656909181,183800,2527519,19.60936164855957,21,13,0,2022-07-04T07:33:01,-184,-3.0636033333333335,-183454,-3.0575666666666668,96.19993605881595,100174.68876404494
1656909182,251800,2528587,19.59531593322754,31,13,0,2022-07-04T07:33:02,-183,-3.045803333333333,-182386,-3.0397666666666665,96.14062551445345,100175.39476268413
1656909183,734800,2530334,19.60936164855957,43,13,0,2022-07-04T07:33:03,-182,-3.0210866666666667,-180639,-3.01065,96.76981838013818,100167.90492157923
